n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
25	0.25	spectral	12883823	umap	0	0.0	0.411763514951092	396100	39091	16736	7434	403786	42407	10010	3158	0.3490818419042027
25	0.25	spectral	12883823	umap	1	0.0	0.3490818419042027	403786	42407	10010	3158	396100	39091	16736	7434	0.411763514951092
25	0.25	spectral	12883823	umap	2	0.0	0.41098700758869494	396891	35439	17260	9771	396936	41800	13433	7192	0.3540240761165613
25	0.25	spectral	12883823	umap	3	0.0	0.3540240761165613	396936	41800	13433	7192	396891	35439	17260	9771	0.41098700758869494
25	0.25	spectral	12883823	umap	4	0.0	0.37473712759253935	400011	41748	12777	4825	399175	36809	16398	6979	0.42374744970009076
25	0.25	spectral	12883823	umap	5	0.0	0.42374744970009076	399175	36809	16398	6979	400011	41748	12777	4825	0.37473712759253935
