n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
25	0.05	spectral	12883823	umap	0	0.0	0.23834625770598974	399749	49259	6568	3785	405251	44815	7602	1693	0.3180944254070411
25	0.05	spectral	12883823	umap	1	0.0	0.3180944254070411	405251	44815	7602	1693	399749	49259	6568	3785	0.23834625770598974
25	0.05	spectral	12883823	umap	2	0.0	0.26942314937485506	403985	46078	6621	2677	399970	48392	6841	4158	0.24161555653359112
25	0.05	spectral	12883823	umap	3	0.0	0.24161555653359112	399970	48392	6841	4158	403985	46078	6621	2677	0.26942314937485506
25	0.05	spectral	12883823	umap	4	0.0	0.38180828259768396	401373	42407	12118	3463	403064	46494	6713	3090	0.26253930089739713
25	0.05	spectral	12883823	umap	5	0.0	0.26253930089739713	403064	46494	6713	3090	401373	42407	12118	3463	0.38180828259768396
