n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
2	precomputed	2	1	12883823	mds	0	12.0	0.02604675483761587	8052	512	55315	395482	66406	40	52377	340538	0.14681033739144028
2	precomputed	2	1	12883823	mds	1	12.0	0.14681033739144028	66406	40	52377	340538	8052	512	55315	395482	0.02604675483761587
2	precomputed	2	1	12883823	mds	2	12.0	0.1488663875272783	68065	71	52628	338597	63048	0	55233	341080	0.14745392713845312
2	precomputed	2	1	12883823	mds	3	12.0	0.14745392713845312	63048	0	55233	341080	68065	71	52628	338597	0.1488663875272783
2	precomputed	2	1	12883823	mds	4	12.0	0.039270114458512966	15198	832	53693	389638	70424	200	53007	335730	0.1505002305739307
2	precomputed	2	1	12883823	mds	5	12.0	0.1505002305739307	70424	200	53007	335730	15198	832	53693	389638	0.039270114458512966
