n_components	svd_solver	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
10	full	12883823	pca	0	12.0	0.07426618090598458	26528	3559	4519	22010	21249	3041	4894	27432	0.03735350206526033
10	full	12883823	pca	1	12.0	0.03735350206526033	21249	3041	4894	27432	26528	3559	4519	22010	0.07426618090598458
10	full	12883823	pca	2	12.0	0.04802306783486564	21960	2786	4629	27241	26107	3887	4833	21789	0.07183016014297403
10	full	12883823	pca	3	12.0	0.07183016014297403	26107	3887	4833	21789	21960	2786	4629	27241	0.04802306783486564
10	full	12883823	pca	4	12.0	0.06167110671446189	27552	3718	4098	21248	21923	3123	5147	26423	0.05392254486812495
10	full	12883823	pca	5	12.0	0.05392254486812495	21923	3123	5147	26423	27552	3718	4098	21248	0.06167110671446189
