n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
4	precomputed	2	1	12883823	mds	0	0.0	0.1357762702881389	35400	4460	3618	13138	24385	1862	6073	24296	0.1853531741871245
4	precomputed	2	1	12883823	mds	1	0.0	0.1853531741871245	24385	1862	6073	24296	35400	4460	3618	13138	0.1357762702881389
4	precomputed	2	1	12883823	mds	2	0.0	0.1651224250575176	20236	1288	6127	28965	35137	5047	3673	12759	0.12313449540115332
4	precomputed	2	1	12883823	mds	3	0.0	0.12313449540115332	35137	5047	3673	12759	20236	1288	6127	28965	0.1651224250575176
4	precomputed	2	1	12883823	mds	4	0.0	0.1662615989097824	36906	4232	3584	11894	17262	1230	7040	31084	0.1568825750300069
4	precomputed	2	1	12883823	mds	5	0.0	0.1568825750300069	17262	1230	7040	31084	36906	4232	3584	11894	0.1662615989097824
