strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
SouthAfrica/NHLS-UCT-GS-AE87/2021	20	AY.91
SouthAfrica/NHLS-UCT-GP-K618/2021	27	AY.107
Japan/SZ-NIG-Y211958/2021	16	AY.29
USA/NM-UNM-ED00988/2022	23	AY.25
England/NORW-30902CC/2021	27	AY.4
England/MILK-29D2615/2021	27	AY.4
THA/CONI-1640/2021	27	B.1.617.2
OV649901	-1	AY.4
England/NEWC-1D1FB2B/2021	27	AY.4
UGA/MUWRP-KIR210118S/2021	27	AY.46
NZL/21MV3213/2021	8	AY.39.1.1
England/MILK-2820330/2021	-1	AY.98
Denmark/DCGC-256085/2021	27	B.1.617.2
England/MILK-17AF41C/2021	27	AY.4
BRA/RJ-NVBS5276GENOV827942410366/2021	1	AY.99.2
BRA/PR-NVBS5715GENOV045374597145/2021	11	AY.101
BHR/21921622772/2021	27	B.1.617.2
BRA/EPI_ISL_8890165/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-D150/2021	4	AY.32
MRT/394421/2021	10	AY.34.1
OY409223	27	AY.46
USA/TN-SPHL-0204/2021	23	AY.25
NZL/21CV0954/2021	-1	AY.39.1.1
NZL/21MV2853/2021	8	AY.39.1.1
USA/OKPHL0025522/2021	24	AY.103
USA/UT-UPHL-210609601897/2021	2	AY.44
USA/CO-CDC-MMB08875794/2021	2	AY.44
England/ALDP-157FECE/2021	27	AY.4
USA/MD-CDC-LC0338756/2021	23	AY.25
BRA/EPI_ISL_8890043/2021	1	AY.99.2
OY434175	27	AY.4
OY335678	27	AY.5
OY516379	-1	AY.4
UGA/MUWRP-KIR210120S/2021	27	AY.46
HongKong/HKU-220213-217/2021	27	B.1.617.2
BRA/SP-NVBS10911GENOV701284878537/2021	1	AY.99.2
BRA/PI-NVBS9779GENOV701341436076/2021	1	AY.99.2
BRA/SP-NVBS6730GENOV828077847546/2021	1	AY.99.2
BRA/RJ-NVBS3731GENOV827835016927/2021	1	AY.99.2
LAO/LOMWRU-0480/2021	5	AY.85
Scotland/QEUH-1687F47/2021	27	AY.4
Scotland/QEUH-15DED84/2021	27	AY.4
USA/IL-CDC-STM-000070452/2021	27	B.1.617.2
NGA/CV4780/2021	6	AY.36
BHR/342326038/2021	27	B.1.617.2
England/RAND-1955FB8/2021	27	AY.4
USA/CA-CDPH-3000258352/2021	27	AY.20
BHR/21921795622_S81_L001/2021	7	AY.33
OY432978	27	AY.4
OV504854	27	AY.122
USA/WA-UW-21052765778/2021	-1	B.1.617.2
IND/GBRC629a/2021	27	B.1.617.2
BRA/ILMD2101235/2021	10	B.1.617.2
BRA/ILMD2101432/2021	1	AY.99.2
USA/CO-CDPHE-2101937541/2021	12	AY.100
OV103948	21	AY.43
NZL/21CV0543/2021	9	AY.39.1.1
NZL/21MV1331/2021	2	AY.44
BHR/21342702121/2021	7	AY.33
USA/MA-CDCBI-CRSP_2EVA2B7AU2T77RSV/2021	-1	AY.127
NZL/21CH0045/2021	27	AY.4
NZL/21CV0246/2021	9	AY.39.1.1
NZL/21CV0412/2021	9	AY.39.1.1
England/PLYM-20917BE/2021	-1	AY.4
NZL/21MV0571/2021	13	AY.23
NZL/21MV0812/2021	9	AY.39.1.1
NZL/21MV0950/2021	9	AY.39.1.1
OU858094	-1	B.1.617.2
NGA/CV2822/2021	6	AY.36
USA/NC-CDC-ASC210464998/2021	27	B.1.617.2
USA/UT-UPHL-210721332314/2021	2	AY.44
IND/CWS_0019_47812264/2021	27	B.1.617.2
Scotland/QEUH-1641E6A/2021	27	AY.4
LAO/LOMWRU-1002/2021	3	AY.1
FRA/IHUCOVID-028147_Nova1/2021	21	AY.43
USA/CA-CDPH-2000052704/2021	23	AY.25.1
USA/MI-CDC-STM-76462R3JA/2021	24	AY.103
England/ALDP-15EA5C9/2021	27	AY.4
England/NORT-1BE1B06/2021	27	AY.98
BEN/MTMC_35_094/2021	27	B.1.617.2
USA/B011888/2021	24	AY.103
SouthAfrica/NHLS-UCT-LA-Z660/2021	27	AY.6
England/MILK-2874F0C/2021	27	AY.4
KEN/SS7131/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-AM-Z062/2021	26	AY.45
SouthAfrica/NHLS-UCT-GS-C909/2021	4	AY.32
USA/FL-CDC-QDX25472414/2021	18	AY.3
BRA/ILMD2200159/2021	1	AY.99.2
Japan/SZ-NIG-Y212025/2021	16	AY.29
OV374282	27	AY.4
OY706184	27	AY.4
LAO/LOMWRU-1328/2021	3	AY.1
BGD/IEDCR-OIS-242/2021	27	B.1.617.2
USA/FL-CDC-LC0073561/2021	2	AY.44
USA/NE-TESTNE_A1KVV71/2021	24	AY.103
USA/CA-OC-FG-233046/2021	-1	AY.103
USA/Mayo9809/2021	23	AY.25
OY569698	27	AY.6
OY550434	27	AY.4
SouthAfrica/NHLS-UCT-GS-C002/2021	4	AY.32
BRA/SP-NVBS11534GENOV828501895365/2021	-1	AY.46
SYC/SS4702/2021	19	AY.122
Japan/SZ-NIG-Y212133/2021	16	AY.29
NZL/21MV1675/2021	8	AY.39.1.1
KEN/C97296/2021	27	AY.116
BHR/21921749402_S93_L001/2021	27	B.1.617.2
JPN/HiroC117c/2021	16	AY.29
BRA/SC-NXBS4749GENOV045615834268/2021	11	AY.101
BRA/RJ-NVBS3542GENOV700921341489/2021	1	AY.99.2
NGA/CV4746/2021	6	AY.36
IND/NIB148384/2021	27	B.1.617.2
BRA/PR-NVBS4514GENOV827962987770/2021	11	AY.101
England/PHEC-U30AU1C4/2021	27	B.1.617.2
England/MILK-15E050F/2021	27	AY.4
IND/GBRC1218/2021	27	B.1.617.2
England/MILK-188D862/2021	27	AY.4
USA/ME-CDC-ASC210565432/2022	18	AY.3
USA/CO-CDC-MMB08717562/2021	23	AY.25
NGA/CV4259/2021	6	AY.36
LAO/LOMWRU-1782/2021	3	AY.1
England/QEUH-2DE8205/2021	-1	AY.98
Scotland/QEUH-1852A06/2021	27	AY.4
USA/MA-CDC-QDX24476850/2021	27	B.1.617.2
England/HSLL-1532CBE/2021	27	AY.122
USA/AZ-CDC-ASC210089808/2021	2	AY.44
USA/CT-1137/2021	23	AY.25
KEN/C103161/2021	27	AY.116
NZL/21CV0231/2021	13	AY.23
NZL/21MV0524/2021	27	B.1.617.2
USA/OKPHL0024763/2022	27	AY.103
NZL/21MV0489/2021	27	B.1.617.2
NZL/21MV0758/2021	9	AY.39.1.1
NZL/21MV0597/2021	-1	B.1.617.2
IND/532MN908947.3/2021	27	B.1.617.2
BRA/SP-NVBS11361GENOV701800592213/2021	21	AY.43
USA/GA-CDC-STM-000711405/2021	27	B.1.617.2
England/ALDP-15B57A3/2021	27	AY.4
USA/KS-CDC-2-4567468/2021	2	AY.44
England/ALDP-15DA92A/2021	27	AY.4
England/MILK-174C411/2021	27	AY.4
BRA/DF-NVBS9953GENOV828374567161/2021	1	AY.99.2
USA/GA-CDC-MMB09516331/2021	-1	AY.39
SouthAfrica/NHLS-UCT-GS-F574/2021	4	AY.32
USA/CA-LACPHL-AF04675/2021	23	AY.25
NZL/21MV0636/2021	25	AY.120
BHR/400216326_S30_L001/2021	27	B.1.617.2
BGD/Laila_73/2021	27	B.1.617.2
OV103798	27	AY.4
England/ALDP-2B9984F/2021	27	AY.4.2
England/MILK-15C987C/2021	27	AY.5
USA/NJ-CDC-QDX24840221/2021	27	B.1.617.2
Wales/PHWC-PY4TGW/2021	27	AY.4
NZL/21MV0564/2021	27	AY.4
NZL/21CV0275/2021	9	AY.39
SYC/SS3569/2021	-1	AY.122
BTN/RCDC0012-SV210150/2020	27	B.1.617.2
KEN/SS5010/2021	27	AY.46
NZL/21MV0488/2021	27	B.1.617.2
OU857748	21	AY.43
BRA/RJ-NVBS11963GENOV700965959145/2021	1	AY.99.2
USA/TG1061579/2021	12	AY.100
BRA/SP-NVBS11284GENOV828486877240/2021	-1	AY.46
USA/MA-CDCBI-CRSP_HMU2UOIZJYFAE46L/2021	18	AY.3
BHR/21921864481/2021	27	B.1.617.2
IND/CWS_0006_49088398/2021	27	B.1.617.2
England/ALDP-15F5CE4/2021	27	AY.4
FRA/IHUCOVID-055223-Nova1/2021	21	AY.43
BRA/SP-NVBS11471GENOV828485403754/2021	21	AY.43
BRA/RJ-NVBS3541GENOV827851232646/2021	1	AY.99.2
NZL/21MV1292/2021	9	AY.39.1.1
UZB/UZB-332/2021	27	AY.122
USA/NV-CDC-QDX26116121/2021	2	AY.44
NZL/21CH0280/2021	8	AY.39.1.1
OV104284	21	AY.43
BRA/RJ-NVBS9684GENOV828368479265/2021	1	AY.99.2
BRA/BA-NVBS5373GENOV700931114141/2021	1	AY.99.2
NZL/21MV3143/2021	9	AY.39.1.1
England/ALDP-1540813/2021	27	AY.4
UGA/MUWRP-MUL210273/2021	27	AY.46
USA/FL-CDC-ASC210032824/2021	27	B.1.617.2
KEN/C106199/2021	27	AY.116
Japan/SZ-NIG-3-C12636/2021	16	AY.29
USA/CO-CDPHE-2102651133/2022	24	AY.103
England/MILK-2D45B38/2021	27	AY.4
England/PHEC-Y306YA90/2021	-1	B.1.617.2
BRA/EPI_ISL_8890379/2021	1	AY.99.2
England/BRBR-1C71627/2021	27	AY.4
OY528028	27	AY.4
NZL/21MV3110/2021	9	AY.39.1.1
USA/CO-CDC-ASC210179974/2021	18	AY.3
USA/PA-CDC-LC0305532/2021	23	AY.25.1
NGA/BCVL-26967/2021	6	AY.36
USA/MA-CDCBI-CRSP_ATUA5QY57ZPIRS2E/2021	-1	B.1.617.2
LAO/LOMWRU-1525/2021	5	AY.85
LAO/LOMWRU-1394/2021	3	AY.1
USA/UT-UPHL-210621699831/2021	2	AY.44
England/ALDP-168C3CE/2021	27	AY.4
NZL/21MV0487/2021	27	AY.4
NZL/21MV1555/2021	9	AY.39.1.1
KEN/C98276/2021	27	AY.116
BRA/21894987DMN/2021	1	AY.99.2
England/HSLL-15193B8/2021	14	AY.122
BTN/RCDC0020-SV210158/2021	27	B.1.617.2
USA/CO-CDC-ASC210065360/2021	2	AY.44
SouthAfrica/NHLS-UCT-GS-C911/2021	26	AY.45
PAK/153181/2021	27	B.1.617.2
USA/UT-UPHL-210921586575/2021	23	AY.25.1
England/MILK-1C90C11/2021	25	AY.120
BRA/SP-NVBS11661GENOV828510730435/2021	10	AY.34.1
BRA/PE-NVBS8421GENOV828251057495/2021	1	AY.99.2
IND/hospital_2_320/2021	27	B.1.617.2
England/QEUH-1D7657F/2021	27	AY.4
OY509844	27	AY.4
Denmark/DCGC-223472/2021	21	AY.43
USA/LA-BIE-BP254/2022	-1	AY.39
England/ALDP-2D817E1/2021	27	AY.4.2
BRA/RS-NVBS7211GENOV19426656501/2021	1	AY.99.2
FRA/IHUCOVID-0027109_Nova1/2020	-1	B.1.617.2
SYC/SS3973/2021	19	AY.122
MRT/397636/2021	10	AY.34.1
USA/MA-CDC-LC0466718/2022	24	AY.103
USA/TN-CDC-ASC210107804/2021	2	AY.44
USA/WA-CDC-UW21051982399/2021	-1	B.1.617.2
BHR/921069396/2021	27	B.1.617.2
BRA/ILMD2200168/2021	1	AY.99.2
BRA/SP-NVBS11872GENOV828512594288/2021	10	AY.34.1
BRA/SP-NVBS10154GENOV130640662327/2021	21	AY.43
BRA/RJ-NVBS6511GENOV700940553214/2021	1	AY.99.2
USA/NM-UNM-TRL_2J2022_111/2022	18	AY.3
OY350231	27	AY.98
OY481497	27	AY.4
OY564815	27	AY.4
USA/TX-CDC-LC0334074/2021	18	AY.3
USA/GA-CDC-MMB09835834/2021	-1	AY.39
England/NORT-YYBI4W/2021	27	AY.4
BHR/21921819264/2021	7	AY.33
England/QEUH-29F05F6/2021	27	AY.6
BRA/EPI_ISL_8890105/2021	1	AY.99.2
BHR/21922022252_S40_L001/2021	-1	AY.4
OV103942	-1	AY.122
LAO/LOMWRU-1751/2022	3	AY.1
KEN/SS4437/2021	-1	AY.46
USA/TX-CDC-FG-203316/2021	23	AY.25
Switzerland/GE-HUG-36608772/2022	17	AY.126
England/MILK-30C1BE3/2022	27	AY.4.2
USA/MO-CDC-ASC210470623/2021	24	AY.103
OV019321	-1	AY.43
NZL/21MV1708/2021	9	AY.39.1.1
BHR/21100206582_S63_L001/2021	15	AY.3
USA/OKPHLCOV0008237/2021	2	AY.44
USA/UT-UPHL-220109420824/2021	24	AY.103
USA/MO-UMGC-7403/2021	18	AY.3
USA/MN-CDC-ASC210160024/2021	24	AY.103
NGA/CV2496/2021	6	AY.36
KEN/SS10670/2021	27	B.1.617.2
BEN/528720/2021	6	AY.36
SYC/SS2592/2021	19	AY.122
USA/PA-CDC-STM-000732892/2021	23	AY.25.1
England/NORT-YYWTNN/2021	27	AY.4.2
Japan/SZ-NIG-3-C11857/2021	16	AY.29
England/MILK-2CBEE9C/2021	27	AY.4.2
OY712859	27	AY.4
BRA/SP-NVBS11541GENOV828488900366/2021	10	AY.46
Japan/SZ-NIG-3-C11398/2021	16	AY.29
England/NORT-1BF0F53/2021	27	AY.4
OV104177	-1	AY.98
NGA/CV3476/2021	6	AY.36
NGA/CV4741/2021	27	B.1.617.2
Wales/ALDP-161020E/2021	27	AY.4
England/ALDP-17FF77E/2021	27	AY.4
BRA/SP-NXBS4941GENOV827935574174/2021	1	AY.99.2
BRA/RJ-NVBS5479GENOV700932292138/2021	1	AY.99.2
BRA/RJ-NXBS1903GENOV807674328719/2021	1	AY.99.2
BRA/RJ-NVBS3523GENOV827824550272/2021	1	AY.99.2
IND/GBRC605a/2021	27	AY.122
SYC/SS4669/2021	19	AY.122
Japan/SZ-NIG-213383/2021	16	AY.29
USA/NM-UNM-ED00952/2021	22	AY.103
