strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
LAO/LOMWRU-1143/2021	3	AY.1
USA/CO-CDC-MMB08679857/2021	23	AY.25
IND/NIB149780/2021	27	B.1.617.2
England/NORW-30926B6/2021	27	AY.4
SouthAfrica/NHLS-UCT-GP-6555/2021	4	AY.32
SouthAfrica/NHLS-UCT-LA-Z625/2021	26	AY.45
THA/CONI-1393/2021	5	AY.85
OX115864	21	AY.43
SouthAfrica/NHLS-UCT-GP-M982/2021	20	AY.91
IND/CWS_0084_52220027/2021	27	B.1.617.2
USA/NC-CDC-LC0078599/2021	-1	AY.103
NZL/21MV0525/2021	27	B.1.617.2
NZL/21MV0425/2021	14	AY.122
KEN/C99737/2021	27	AY.116
Japan/SZ-NIG-3-C11159/2021	16	AY.29
Japan/SZ-NIG-3-C11059/2021	16	AY.29
Switzerland/BE-IFIK-5610-8586/2022	27	AY.46.6
BRA/SP-NVBS11376GENOV828509995951/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-C101/2021	20	AY.91
England/QEUH-1B259FD/2021	27	AY.4
USA/UT-UPHL-210612642370/2021	2	AY.44
USA/OR-UW-21072091446/2021	9	AY.39
England/ALDP-1D983D7/2021	27	AY.98
IND/GBRC1275/2021	27	B.1.617.2
England/NORT-1BE9AF2/2021	27	AY.4
Japan/SZ-NIG-3-C11713/2021	16	AY.29
LAO/LOMWRU-1558/2021	3	AY.1
IND/INSACOG-GBRC1622/2021	27	B.1.617.2
BHR/921069369/2021	27	B.1.617.2
England/BRBR-1A846BA/2021	27	AY.98
Scotland/QEUH-15A47B6/2021	27	AY.4
Scotland/QEUH-17C5D9D/2021	27	AY.4
NZL/21MV1042/2021	9	AY.39.1.1
USA/WA-S12602/2021	18	AY.3
BRA/RJ-NVBS6187GENOV828082890933/2021	1	AY.99.2
BRA/DF-NVBS5940GENOV828103043522/2021	1	AY.99.2
BRA/RJ-NVBS3545GENOV827840132544/2021	1	AY.99.2
USA/CA-CDPH-3000265066/2021	12	AY.100
USA/UT-UPHL-220204596804/2022	12	AY.100
SouthAfrica/NHLS-UCT-GS-I299/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-B937/2021	-1	AY.120
SouthAfrica/NHLS-UCT-GS-AD22/2021	26	AY.45
USA/CO-CDC-MMB08964531/2021	23	AY.25
England/ALDP-154D791/2021	27	AY.4
England/PHEC-30AE09/2021	27	B.1.617.2
USA/CA-LACPHL-AF04823/2021	2	AY.44
Northern_Ireland/NIRE-008d27/2021	27	AY.4
BHR/21922022597_S29_L001/2021	27	B.1.617.2
USA/MN-CDC-ASC210362440/2021	24	AY.103
OU937022	27	AY.122
OU932144	21	AY.43
DJI/NAMRU3_E932/2021	25	AY.120
LAO/LOMWRU-1391/2021	3	AY.1
England/NEWC-202C6AC/2021	27	AY.4
NGA/CV2364/2021	6	AY.36
Denmark/DCGC-230595/2021	27	AY.122
OU266496	14	AY.122
USA/CO-CDC-ASC210719057/2021	-1	AY.39
OV103742	-1	B.1.617.2
England/MILK-152462A/2021	27	AY.6
OV103611	21	AY.43
OV103774	-1	B.1.617.2
NZL/21MV0651/2021	21	AY.43
BHR/21342685363/2021	-1	B.1.617.2
BHR/21921943599_S68_L001/2021	21	AY.43
DJI/NAMRU3_E302/2021	-1	AY.127
England/MILK-16646B4/2021	27	AY.5
CHL/AR-UFRO-0462/2021	21	AY.43
Denmark/DCGC-146141/2021	27	AY.122
SouthAfrica/NHLS-UCT-GS-AE66/2021	4	AY.32
SouthAfrica/NHLS-UCT-AM-Z020/2021	4	AY.32
England/ALDP-15F0E01/2021	27	AY.4
IND/CWS_0012_49330960/2021	27	B.1.617.2
IND/CWS_0077_55316183/2021	27	B.1.617.2
USA/UT-UPHL-210723596488/2021	2	AY.44
Northern_Ireland/NIRE-01333f/2021	27	AY.4.2
USA/IL-CDC-ASC210638202/2021	-1	AY.39
Japan/SZ-NIG-3-C11430/2021	16	AY.29
USA/UT-UPHL-220107540011/2021	23	AY.25.1
IND/hospital_2_324/2021	27	B.1.617.2
IND/GBRC1291/2021	27	B.1.617.2
IND/GBRC1235/2021	27	B.1.617.2
England/ALDP-1578214/2021	27	AY.4
England/ALDP-15D1A99/2021	27	AY.4
England/MILK-17A9E14/2021	-1	B.1.617.2
USA/OH-CDC-LC0396211/2021	-1	AY.39
USA/MN-CDC-ASC210527555/2021	-1	AY.39
USA/MN-CDC-IBX667917487612/2021	23	AY.25
OV104488	21	AY.43
England/PHEC-34E698/2021	27	AY.4
England/MILK-1E6A470/2021	27	AY.4
BRA/SC-NVBS11656GENOV045617307432/2021	1	AY.99.2
BRA/RJ-NVBS3499GENOV827812865777/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-B992/2021	4	AY.32
THA/CONI-1026/2021	5	AY.85
BHR/921228968/2021	27	B.1.617.2
BTN/RCDC0013-SV210151/2020	27	B.1.617.2
Scotland/QEUH-1738E1A/2021	27	AY.4
England/MILK-17FFFEF/2021	27	AY.4
BRA/SP-NVBS4822GENOV130639240437/2021	21	AY.43
UGA/MUWRP-KIR210109S/2021	27	AY.46
England/MILK-1544F29/2021	14	AY.122
USA/CO-CDC-MMB09425171/2021	2	AY.44
England/ALDP-1AE8AD6/2021	27	AY.4
England/PLYM-2FDEE2A/2021	27	AY.4.2
England/MILK-30C8F0E/2022	27	AY.4
OY351191	27	AY.4
ZAF/NHLS-UCT-GS-C441/2021	4	AY.32
BRA/PR-NVBS996GENOV44905645850/2021	11	AY.101
BRA/SP-NVBS3161GENOV701236642773/2021	1	AY.99.2
NZL/21CH0118/2021	9	AY.39.1.1
OY484127	27	AY.4
NGA/CV3128/2021	6	AY.36
USA/SC-COVID21-3352/2021	18	AY.3
OY373549	27	AY.4
MEX/CMX-2_274/2021	27	AY.20
BRA/SP-NVBS6904GENOV828104303823/2021	-1	AY.46
USA/CO-CDPHE-40849569/2021	2	AY.44
NZL/21MV1293/2021	9	AY.39.1.1
NZL/21CV0821/2021	8	AY.39.1.1
USA/CO-CDC-MMB08964627/2021	23	AY.25
NZL/21MV0352/2021	12	B.1.617.2
SouthAfrica/NHLS-UCT-GS-B974/2021	4	AY.32
NGA/CV4789/2021	6	AY.36
SouthAfrica/NHLS-UCT-LA-Z628/2021	4	AY.32
NZL/21MV1339/2021	9	AY.39.1.1
England/MILK-2092595/2021	27	AY.4.2
Scotland/QEUH-27C1BC1/2021	27	AY.4
SYC/SS4697/2021	19	AY.122
SYC/SS4654/2021	19	AY.122
SouthAfrica/NHLS-UCT-GS-AE99/2021	4	AY.32
USA/GA-CDC-ASC210205271/2021	24	AY.103
BHR/921451322/2021	27	B.1.617.2
NZL/21CV0417/2021	9	AY.39.1.1
LAO/LOMWRU-1494/2021	5	AY.85
NZL/21CV2651/2021	8	AY.39.1.1
USA/GA-CDC-LC0205636/2021	23	AY.25
KEN/C107900/2021	27	AY.116
BRA/ILMD2101185/2021	11	AY.101
England/NORT-YY6Z9P/2021	27	AY.4
NGA/CV2652/2021	6	AY.36
USA/KY-LMDC-21071800/2021	23	AY.25
BRA/DF-NVBS9887GENOV828395315901/2021	1	AY.99.2
BRA/RJ-NVBS9688GENOV700957368290/2021	1	AY.99.2
BRA/RJ-NVBS9390GENOV828346957549/2021	1	AY.99.2
BRA/PR-NVBS5666GENOV827961803675/2021	11	AY.101
BRA/MT-NVBS6057GENOV070982350110/2021	1	AY.99.2
BHR/21342736020/2021	-1	B.1.617.2
England/QEUH-157752B/2021	27	AY.4
IND/GBRC828/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-D866/2021	20	AY.91
GAB/24922-22C_Gabon/2021	10	B.1.617.2
KEN/SS7231/2021	27	AY.46
KEN/SS2209/2021	27	AY.46
Pakistan/UHS2-Pak-463/2021	27	B.1.617.2
BHR/21921908372/2021	-1	B.1.617.2
OV020422	27	AY.20
USA/CA-CDPH-3000281289/2021	24	AY.103
IND/177405/2021	27	B.1.617.2
OV103587	21	AY.43
OV104007	-1	B.1.617.2
BHR/21342810901_S68_L001/2021	15	AY.3
England/MILK-2C9D76B/2021	27	AY.4.2
BTN/RCDC0017-SV210155/2021	27	B.1.617.2
BRA/DF-NVBS9226GENOV828214905184/2021	1	AY.99.2
LAO/LOMWRU-1414/2021	5	AY.85
USA/1992435/2022	24	AY.103
USA/UT-UPHL-210603476432/2021	2	AY.44
BRA/PR-NVBS4591GENOV827974141368/2021	11	AY.101
Denmark/DCGC-265968/2021	27	AY.5
NGA/CV3430/2021	6	AY.36
NGA/CV2283/2021	6	AY.36
USA/MN-CDC-IBX759049469323/2021	18	AY.3
OU516489	-1	AY.43
OV020045	27	AY.46.6
SouthAfrica/NHLS-UCT-LA-Z569/2021	26	AY.45
UZB/UZB-325/2021	17	AY.126
BHR/21342805901_S40_L001/2021	27	B.1.617.2
USA/CO-CDPHE-2103153337/2022	12	AY.100
BRA/SP-NVBS6842GENOV828075919375/2021	11	AY.101
BRA/RJ-NVBS8614GENOV828216058161/2021	1	AY.99.2
BRA/RJ-NVBS5614GENOV827978550685/2021	1	AY.99.2
NZL/21MV2033/2021	9	AY.39.1.1
NZL/21CH0539/2021	8	AY.39.1.1
NZL/21CH0593/2021	8	AY.39.1.1
Scotland/QEUH-15A3C21/2021	27	AY.4
England/MILK-1552AEB/2021	14	AY.122
LC752097	16	AY.29
LAO/LOMWRU-1456/2021	5	AY.85
LAO/LOMWRU-1147/2021	3	AY.1
USA/Mayo5427/2021	24	AY.103
MYS/M_C15843/2021	27	B.1.617.2
KEN/SS312/2021	27	B.1.617.2
SYC/SS3514/2021	19	AY.122
USA/FL-CDC-ASC210449920/2021	23	AY.25
FRA/IHUCOVID-043594_Nova1/2021	-1	B.1.617.2
BHR/21921666712_S46_L001/2021	27	B.1.617.2
USA/CA-CDC-FG-145893/2021	27	B.1.617.2
USA/CA-CDPH-3000132180/2021	2	AY.44
NGA/CV4281/2021	6	AY.36
NGA/CV4988/2021	6	AY.36
BHR/21342801887_S86_L001/2021	27	AY.122
England/ALDP-1537C04/2021	27	B.1.617.2
OX122596	27	AY.46.6
USA/KY-CDC-LC0193969/2021	18	AY.3
NZL/21CV1083/2021	8	AY.39.1.1
NZL/21CV0622/2021	9	AY.39.1.1
NZL/21CH0206/2021	8	AY.39.1.1
IND/GBRC785/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-AM-Z018/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-AF03/2021	-1	AY.91
USA/CA-CDPH-3000266961/2021	-1	AY.119
BRA/SC-NVBS11261GENOV045617224869/2021	11	AY.101
NZL/21MV0556/2021	27	B.1.617.2
USA/MN-CDC-IBX128780380628/2021	23	AY.25
BHR/21342697772_S75_L001/2021	7	AY.33
USA/CO-CDPHE-2103139266/2021	18	AY.3
LAO/LOMWRU-0479/2021	5	AY.85
USA/PA-CDC-STM-000726722/2021	27	AY.4
USA/MA-CDCBI-CRSP_TZS7YQKRFOV6MMQ2/2021	-1	B.1.617.2
Scotland/QEUH-1E6E52E/2021	27	AY.4
Switzerland/BE-IFIK-210906_os-89/2021	27	B.1.617.2
England/ALDP-1EAA034/2021	27	AY.4
LAO/LOMWRU-1556/2021	5	AY.85
BHR/342515176_S348_L001/2021	27	B.1.617.2
USA/MA-CDCBI-CRSP_XL5APY7FRJX2DYSB/2021	2	AY.44
England/HSLL-1E5C4F9/2021	27	AY.4
USA/NM-UNM-ED00397/2021	2	AY.44
BGD/Laila_219/2021	27	B.1.617.2
OV114052	27	AY.4
OV111672	21	AY.43
Japan/SZ-NIG-Y212067/2021	16	AY.29
England/MILK-2EA3715/2021	27	AY.4.2
USA/PA-CDC-ATM-337GFSRF2/2021	9	AY.39
SYC/SS4682/2021	19	AY.122
England/QEUH-18449BF/2021	27	AY.4
NZL/21MV0720/2021	9	AY.39.1.1
NZL/21MV0496/2021	-1	AY.46
NZL/21MV1594/2021	9	AY.39.1.1
NZL/21MV2049/2021	8	AY.39.1.1
NZL/21MV2640/2021	9	AY.39.1.1
England/PHEP-YYNF4TZ/2021	27	AY.4
LAO/LOMWRU-0907/2021	3	AY.1
LAO/LOMWRU-1264/2021	3	AY.1
USA/MO-CDC-ASC210614243/2021	-1	AY.39
JAM/202112025/2021	-1	AY.107
OV652944	27	AY.4
USA/WV127177/2021	2	AY.44
USA/CO-CDC-FG-121886/2021	27	B.1.617.2
USA/2078211/2021	-1	AY.25
England/ALDP-154E11A/2021	27	AY.4
BRA/DF-NVBS9049GENOV828244122353/2021	1	AY.99.2
BRA/RJ-NVBS3346GENOV700921167171/2021	0	AY.99
THA/MTM_01_050/2021	5	AY.85
MEX/CHP-5_2173/2021	27	AY.20
BRA/SP-NVBS11592GENOV828493983927/2021	21	AY.43
BRA/PE-NVBS8325GENOV828220042538/2021	1	AY.99.2
JPN/JP_HiroFH212c/2021	16	AY.29
SouthAfrica/NHLS-UCT-GS-AA42/2021	26	AY.45
BRA/RJ-NVBS3668GENOV827825030162/2021	1	AY.99.2
USA/CO-CDPHE-2103153151/2022	2	AY.44
KEN/SS3725/2021	27	AY.46
USA/FL-CDC-QDX30567031/2021	23	AY.25.1
IND/177124/2021	27	B.1.617.2
BRA/SC-NVBS10248GENOV045616872016/2021	1	AY.99.2
USA/MD-CDC-MMB12191405/2021	22	AY.103
USA/KY-LMDC-21071776/2021	23	AY.25
USA/TX-CDC-QDX24365294/2021	27	B.1.617.2
England/ALDP-154DD71/2021	14	AY.122
OV019325	-1	AY.43
OY382162	27	AY.4
BHR/921366267_S359_L001/2021	27	B.1.617.2
OY356769	27	AY.4
NZL/21MV1507/2021	9	AY.39.1.1
OY520791	-1	AY.4
BRA/MS-NVBS9622GENOV700957382685/2021	0	AY.99
KEN/SS4388/2021	-1	AY.46
Japan/SZ-NIG-3-C11633/2021	16	AY.29
England/MILK-2DFD971/2021	27	AY.122
England/LOND-1358021/2021	-1	AY.4
USA/NY-CDC-FG-039300/2021	-1	AY.107
THA/AFRIMS-COV8779/2021	5	AY.85
BRA/EPI_ISL_3696684/2021	1	AY.99.2
BRA/ILMD2100982/2021	11	AY.101
IND/GBRC1217/2021	27	AY.122
England/PLYM-1CAB9A3/2021	27	AY.4
SYC/SS3420/2021	-1	AY.122
England/NEWC-27EE4A5/2021	27	AY.4.2
BRA/SE-NVBS11133GENOV701348990731/2021	1	AY.99.2
BRA/RJ-NVBS6452GENOV700939817440/2021	1	AY.99.2
BRA/MT-NVBS7114GENOV828114678102/2021	1	AY.99.2
BRA/RJ-NVBS3708GENOV827844313185/2021	1	AY.99.2
USA/TX-CDC-FG-124030/2021	18	AY.3
KEN/SS954/2021	27	AY.116
USA/FL-CDC-ASC210249203/2021	18	AY.3
USA/TX-CDC-LC0222937/2021	2	AY.44
England/NORW-301FB21/2021	27	AY.4
USA/OKPHLCOV0009270/2022	-1	AY.103
BRA/EPI_ISL_3696775/2021	1	AY.99.2
SouthAfrica/NHLS-UCT-GS-C964/2021	26	AY.45
South_Africa/UW21070492184/2021	26	AY.45
BEN/MTMC_35_254/2021	27	AY.122
BHR/342331430/2021	27	B.1.617.2
NGA/BCVL-26830/2021	6	AY.36
NZL/21MV1383/2021	9	AY.39.1.1
NZL/21CV0274/2021	9	AY.39.1.1
USA/NY-CDC-FG-136746/2021	27	B.1.617.2
BHR/21342656627_S66_L001/2021	7	AY.33
Scotland/QEUH-2726F28/2021	27	AY.4.2
Switzerland/LU-UHB-43144767/2021	27	AY.46.6
KEN/SS4097/2021	27	AY.46
OV104373	21	AY.43
NGA/CV2697/2021	0	AY.99
THA/CONI-0792/2021	5	AY.85
BRA/DF-NVBS9186GENOV828254390100/2021	1	AY.99.2
BRA/RJ-NVBS6256GENOV828066010654/2021	1	AY.99.2
BRA/RJ-NVBS8599GENOV828214785342/2021	1	AY.99.2
BRA/RJ-NVBS3529GENOV827840216930/2021	1	AY.99.2
SYC/SS1024/2021	19	AY.122
BTN/RCDC0026-SV210164/2021	27	B.1.617.2
BRA/ILMD2200229/2021	1	AY.99.2
England/PHEC-3504B7/2021	27	AY.98
USA/TX-DSHS-7507/2021	27	AY.119
USA/TX-CDC-QDX27272181/2021	23	AY.25
USA/NE-NCOV21-23758/2021	-1	AY.103
BHR/920858661/2021	27	B.1.617.2
KEN/SS11674/2021	17	AY.126
MRT/MLT02/2021	10	AY.34.1
BRA/DF-NVBS10798GENOV828390622615/2021	1	AY.99.2
BRA/PB-NVBS8402GENOV701336318226/2021	1	AY.99.2
BRA/RJ-NVBS5499GENOV700931948814/2021	1	AY.99.2
BRA/RS-NVBS7204GENOV29783383801/2021	1	AY.99.2
BRA/PE-NVBS4452GENOV827979462390/2021	1	AY.99.2
BEN/528580/2021	27	B.1.617.2
USA/OR-CDC-LC0337176/2021	-1	B.1.617.2
BHR/21921891893/2021	-1	B.1.617.2
NGA/CV4749/2021	6	AY.36
Switzerland/BS-UHB-42947018/2021	27	AY.5
NGA/CV4800/2021	27	B.1.617.2
USA/TN-CDC-ASC210535299/2021	9	AY.39
OV104204	21	AY.43
SYC/SS3607/2021	27	AY.122
USA/WA-CDC-UW21111908055/2021	-1	AY.39
England/PLYM-2FC4917/2021	-1	AY.4.2
KAZ/36_02/2021	27	B.1.617.2
LAO/LOMWRU-1761/2021	3	AY.1
SouthAfrica/NHLS-UCT-GP-N079/2021	26	AY.45
BRA/ILMD2101341/2021	21	AY.43
KEN/SS4919/2021	27	AY.46
USA/TG1063431/2021	2	AY.44
BRA/SP-NVBS10166GENOV130640652632/2021	21	AY.43
BRA/GO-NVBS9062GENOV700800148345/2021	-1	AY.46
BRA/RJ-NVBS3338GENOV827846636008/2021	1	AY.99.2
OV103573	-1	B.1.617.2
NZL/21CH0060/2021	13	AY.23
SYC/SS2583/2021	19	AY.122
USA/TX-CDC-LC0310937/2021	23	AY.25
OU857892	21	AY.43
Japan/SZ-NIG-Y211440/2021	16	AY.29
USA/NM-UNM-ED00987/2022	12	AY.100
USA/CO-CDPHE-2102650227/2022	24	AY.103
OV656252	21	AY.43
Scotland/QEUH-31D302A/2022	27	AY.4.2
THA/AFRIMS-COV8000/2021	5	AY.85
LAO/LOMWRU-1319/2021	3	AY.1
USA/FL-CDC-QDX26258036/2021	27	B.1.617.2
England/MILK-17B1866/2021	27	AY.4
England/MILK-2BABCB7/2021	27	AY.4
England/NORW-3165450/2022	-1	AY.127
NZL/21MV0517/2021	-1	AY.46
USA/AL-CDC-ASC210284864/2021	9	AY.39
OU857714	21	AY.43
England/NORW-306189D/2021	27	AY.46
BHR/21922011162/2021	15	AY.3
UZB/UZB-336/2021	17	AY.126
USA/MN-CDC-ASC210713559/2021	9	AY.39
BGD/Laila_41/2021	27	B.1.617.2
IND/GBRC820/2021	27	B.1.617.2
IND/GBRC605b/2021	27	AY.122
THA/AFRIMS-COV8430/2021	5	AY.85
England/MILK-30D9034/2022	27	AY.4
OV653198	21	AY.43
Denmark/DCGC-278360/2021	27	AY.4
USA/MN-CDC-IBX211329159312/2021	24	AY.103
USA/MN-CDC-ASC210532875/2021	22	AY.103
NGA/CV3468/2021	6	AY.36
SYC/SS3944/2021	19	AY.122
BGD/Laila_100/2021	27	B.1.617.2
KEN/SS4918/2021	27	AY.46
USA/CO-CDPHE-2102573326/2022	27	AY.119
SouthAfrica/NHLS-UCT-GS-D664/2021	4	AY.32
GAB/7177_Gabon/2021	10	B.1.617.2
NZL/21MV0754/2021	3	AY.1
England/MILK-1FD3532/2021	25	AY.120
England/ALDP-27A4BD3/2021	27	AY.4.2
OX113378	21	AY.43
USA/KY-GD_01768/2021	22	AY.103
SouthAfrica/NHLS-UCT-GS-H972/2021	4	AY.32
BHR/21921952120_S89_L001/2021	27	AY.4
USA/NV-CDC-QDX30764943/2021	-1	AY.39
BRA/ILMD2101097/2021	21	AY.43
USA/TN-CDC-ASC210029984/2021	27	AY.1
BRA/PR-NVBS5675GENOV045375655776/2021	27	AY.116
NGA/CV3053/2021	6	AY.36
NZL/21MV2444/2021	8	AY.39.1.1
USA/CA-CDC-FG-029327/2021	27	B.1.617.2
OV104025	-1	B.1.617.2
SYC/SS4679/2021	19	AY.122
USA/WI-CDC-LC0408919/2021	24	AY.103
BGD/Laila_142/2021	14	AY.122
KEN/SS4133/2021	27	AY.46
BRA/RJ-NVBS3750GENOV807840691111/2021	1	AY.99.2
NGA/CV3334/2021	6	AY.36
South_Africa/UW21021798418/2021	26	AY.45
England/LSPA-1E44C92/2021	27	AY.4
BRA/RJ-NVBS3725GENOV827839191002/2021	1	AY.99.2
USA/MI-CDC-ASC210457373/2021	24	AY.103
BGD/Laila_107/2021	-1	B.1.617.2
OV103578	21	AY.43
BRA/ILMD2101369/2021	21	AY.43
BRA/SP-NVBS10273GENOV045616875406/2021	1	AY.99.2
USA/CO-CDPHE-2103164375/2022	27	AY.20
NZL/21CV0323/2021	9	AY.39.1.1
NGA/CV2706/2021	0	AY.99
IND/NIB148365/2021	27	B.1.617.2
BHR/21922063300_S7_L001/2021	15	AY.3
Pakistan/UHS2-Pak-97/2021	27	B.1.617.2
England/ALDP-15CD5DB/2021	27	AY.4
NZL/21MV0439/2021	27	B.1.617.2
NZL/21MV1384/2021	9	AY.39.1.1
USA/NV-CDC-LC0313865/2021	27	AY.20
USA/IN-CDC-LC0304230/2021	24	AY.103
England/ALDP-20CEF1A/2021	27	AY.4
USA/VA-VTVAS3-GSC30922/2022	27	AY.46
Wales/PHWC-PYP75A/2021	27	AY.98
OY381764	27	AY.4
BRA/EPI_ISL_4273567/2021	6	AY.36
KEN/SS4398/2021	27	AY.46
OX448570	-1	B.1.617.2
USA/UT-UPHL-210820649962/2021	2	AY.44
BRA/ILMD2101129/2021	27	AY.119
USA/CO-CDC-FG-030533/2021	2	AY.44
BRA/ILMD2200165/2021	1	AY.99.2
BRA/BA-NVBS11493GENOV045617240371/2021	1	AY.99.2
BEN/611975/2021	27	AY.122
USA/CA-CDC-FG-054168/2021	24	AY.103
BRA/SP-NXBS4934GENOV821442047961/2021	1	AY.99.2
BRA/RJ-NVBS3695GENOV807845536264/2021	1	AY.99.2
USA/CO-CDPHE-2101112583/2021	2	AY.44
OV385217	17	AY.126
MEX/CMX-4_1125/2021	27	AY.20
BHR/921385685_S196_L001/2021	27	B.1.617.2
England/PHEC-334941/2021	25	AY.120
USA/CA-CDC-FG-039128/2021	14	AY.122
UGA/MUWRP-KIR210128S/2021	27	AY.46
NZL/21CH0395/2021	8	AY.39.1.1
OY354551	27	AY.46
BRA/RJ-NVBS8904GENOV828243374159/2021	1	AY.99.2
KEN/SS7249/2021	27	AY.46
LAO/LOMWRU-1380/2021	3	AY.1
England/PLYM-17A52C1/2021	27	AY.4
USA/TX-DSHS-12334/2021	24	AY.103
OV104196	21	AY.43
OV103918	21	AY.43
IND/GBRC614b/2021	27	AY.122
SouthAfrica/NHLS-UCT-GP-M986/2021	20	AY.91
USA/CT-CDC-2-5380624/2021	24	AY.103
USA/TX-CDC-QDX31492332/2021	12	AY.100
BGD/Laila_77/2021	27	B.1.617.2
USA/CA-CDC-ASC210634990/2021	23	AY.25.1
OV113566	27	AY.122
OV104100	17	AY.126
USA/TX-CDC-FG-041191/2021	23	AY.25
IND/hospital_2_291/2021	27	B.1.617.2
IND/GBRC1263/2021	27	B.1.617.2
England/MILK-1B602FB/2021	25	AY.120
NGA/CV2809/2021	6	AY.36
NGA/CV3088/2021	6	AY.36
Japan/SZ-NIG-Y211943/2021	16	AY.29
MYS/M_C15537/2021	27	B.1.617.2
NZL/21MV2694/2021	8	AY.39.1.1
England/PHEC-31EDC9/2021	27	AY.4
England/PHEC-M30AM55F/2021	27	AY.4
England/PHEC-YYBYNZA1/2021	27	AY.4
England/PHEC-Y308Y041/2021	27	AY.4
USA/NC-CDC-LC0260468/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-E175/2021	26	AY.45
OY324690	-1	AY.4.2
ZAF/NHLS-UCT-GS-C205/2021	4	AY.32
Denmark/DCGC-257785/2021	27	AY.122
NZL/21MV2275/2021	8	AY.39.1.1
NZL/21CH0801/2021	8	AY.39.1.1
USA/CO-CDPHE-2103164247/2022	12	AY.100
BRA/SP-NVBS11710GENOV828538410678/2021	11	AY.101
BRA/RJ-NVBS8695GENOV828222366724/2021	1	AY.99.2
BRA/SP-NVBS8046GENOV828209335293/2021	1	AY.99.2
USA/NE-TESTNE_A1KUW3K/2021	9	AY.39
NZL/21MV0485/2021	-1	AY.107
IND/544MN908947.3/2021	-1	B.1.617.2
BHR/21342703575/2021	7	AY.33
Switzerland/ZH-ETHZ-34696348/2021	17	AY.126
England/MILK-2BAF4CA/2021	21	AY.43
NZL/21MV0617/2021	27	AY.4
LAO/LOMWRU-1614/2021	3	AY.1
KEN/C101699/2021	27	AY.116
England/NEWC-1B36443/2021	27	AY.4
USA/MA-CDCBI-CRSP_YFUCKPY6HZQYXR7O/2021	18	AY.3
Japan/SZ-NIG-Y21733/2021	16	AY.29
OV110675	27	AY.4
THA/CONI-0909/2021	5	AY.85
Switzerland/BS-UHB-43238627/2021	-1	B.1.617.2
USA/WA-UW-21042294873/2021	27	AY.122
USA/WA-UW-21060924846/2021	27	AY.122
UGA/MUWRP-KIR210154S/2021	27	AY.46
VNM/OUCRU-NHTD352/2021	27	AY.6
England/NEWC-1DA1432/2021	27	AY.4
USA/MI-MDHHS-SC33350/2021	24	AY.103
SYC/SS3935/2021	19	AY.122
OY371882	27	AY.98
DJI/NAMRU3_A459/2021	15	AY.3
COL/SEC-1542H/2021	23	AY.25.1
Wales/PHWC-PYPETB/2021	27	AY.4
England/PHWC-PYSPKA/2021	27	AY.4
OV104478	21	AY.43
SouthAfrica/NHLS-UCT-GS-C732/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-AE80/2021	26	AY.45
IND/GBRC806a/2021	-1	B.1.617.2
BHR/21921957746_S13_L001/2021	-1	AY.4
England/MILK-29B1755/2021	27	AY.4
England/HSLL-15BA999/2021	27	AY.5
BGD/icddrb-CMOSH-CU-2552588/2021	27	B.1.617.2
BRA/SP-NVBS11685GENOV828516649984/2021	21	AY.43
USA/TX-CDC-ASC210235203/2021	12	AY.100
England/ALDP-1D32AE9/2020	27	AY.4
England/ALDP-1C7DA10/2021	27	AY.4
England/QEUH-1C2B8AE/2021	27	AY.5
NZL/21CH0256/2021	8	AY.39.1.1
BHR/342182425/2021	27	B.1.617.2
BRA/DF-NVBS9089GENOV070984991809/2021	1	AY.99.2
BRA/DF-NVBS6039GENOV828100253702/2021	1	AY.99.2
FRA/IHUCOVID-057745_Nova1/2022	27	AY.122
OV111674	21	AY.43
England/ALDP-194A3E7/2021	27	AY.4
NGA/CV2915/2021	6	AY.36
NGA/CV3042/2021	27	B.1.617.2
IND/NIB148287/2021	27	B.1.617.2
NZL/21CH0229/2021	8	AY.39.1.1
IND/GBRC780/2021	14	AY.122
BRA/21895821JCS/2021	1	AY.99.2
BRA/SP-NVBS7062GENOV701259967853/2021	10	AY.34.1
USA/UT-UPHL-210612896933/2021	2	AY.44
LAO/LOMWRU-1363/2021	3	AY.1
BTN/RCDC0019-SV210157/2021	27	B.1.617.2
USA/MN-MDH-20650/2022	24	AY.103
USA/CT-1154/2021	18	AY.3
NZL/21CV0788/2021	8	AY.39.1.1
USA/FL-CDC-2-5313842/2021	24	AY.103
KEN/SS4381/2021	27	AY.46
England/ALDP-30B86C0/2022	27	AY.4.2
England/PLYM-15B9262/2021	27	AY.4
IND/CWS_0056_55110146/2021	27	B.1.617.2
USA/VA-Noblis-S558B57/2021	27	B.1.617.2
OV331715	-1	AY.122
BRA/EPI_ISL_8890097/2021	1	AY.99.2
England/PHEC-30F51E/2021	27	AY.4
IND/NIB148355/2021	14	AY.122
BHR/21922020691_S46_L001/2021	27	B.1.617.2
