n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100	0.25	spectral	12883823	umap	0	4.0	0.5404018601404774	313802	494	55333	89732	356550	182	52235	50394	0.6661294392339383
100	0.25	spectral	12883823	umap	1	4.0	0.6661294392339383	356550	182	52235	50394	313802	494	55333	89732	0.5404018601404774
100	0.25	spectral	12883823	umap	2	4.0	0.5100911081923706	308554	402	52297	98108	355008	371	54862	49120	0.6775158793313908
100	0.25	spectral	12883823	umap	3	4.0	0.6775158793313908	355008	371	54862	49120	308554	402	52297	98108	0.5100911081923706
100	0.25	spectral	12883823	umap	4	4.0	0.6680509638338724	353985	386	54139	50851	299393	281	52926	106761	0.49181145470958926
100	0.25	spectral	12883823	umap	5	4.0	0.49181145470958926	299393	281	52926	106761	353985	386	54139	50851	0.6680509638338724
