n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
6	precomputed	2	1	12883823	mds	0	12.0	0.3523885823963769	39990	3193	4885	8548	25186	824	7111	23495	0.2880586574879893
6	precomputed	2	1	12883823	mds	1	12.0	0.2880586574879893	25186	824	7111	23495	39990	3193	4885	8548	0.3523885823963769
6	precomputed	2	1	12883823	mds	2	12.0	0.2646211866052112	20382	272	7143	28819	38169	3420	5300	9727	0.33084829422878625
6	precomputed	2	1	12883823	mds	3	12.0	0.33084829422878625	38169	3420	5300	9727	20382	272	7143	28819	0.2646211866052112
6	precomputed	2	1	12883823	mds	4	12.0	0.31183219321965855	36980	2687	5129	11820	36650	3228	5042	11696	0.28462175023760805
6	precomputed	2	1	12883823	mds	5	12.0	0.28462175023760805	36650	3228	5042	11696	36980	2687	5129	11820	0.31183219321965855
