init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
spectral	12883823	umap	0	6.0	0.5257628974348066	59781	442	10433	16915	67420	839	9271	10041	0.6068920027979665
spectral	12883823	umap	1	6.0	0.6068920027979665	67420	839	9271	10041	59781	442	10433	16915	0.5257628974348066
spectral	12883823	umap	2	6.0	0.5834466146558974	62746	76	10465	14284	67325	997	9422	9827	0.607418929127108
spectral	12883823	umap	3	6.0	0.607418929127108	67325	997	9422	9827	62746	76	10465	14284	0.5834466146558974
spectral	12883823	umap	4	6.0	0.5880865830929594	63922	418	10288	12943	63485	728	9515	13843	0.544956771940095
spectral	12883823	umap	5	6.0	0.544956771940095	63485	728	9515	13843	63922	418	10288	12943	0.5880865830929594
