mae,components,perplexity,learning_rate,method,nearest_neighbors,min_dist,recombination_rate,replicate,train_test_split
10.093814206185701,2,nan,nan,pca,nan,nan,low-recombination-rate,1,0
9.676840221717306,3,nan,nan,pca,nan,nan,low-recombination-rate,1,0
9.103536628241706,4,nan,nan,pca,nan,nan,low-recombination-rate,1,0
9.290576449754854,5,nan,nan,pca,nan,nan,low-recombination-rate,1,0
9.45681646789325,6,nan,nan,pca,nan,nan,low-recombination-rate,1,0
8.216441146603755,2,nan,nan,mds,nan,nan,low-recombination-rate,1,0
5.747955428448248,3,nan,nan,mds,nan,nan,low-recombination-rate,1,0
5.008988555063095,4,nan,nan,mds,nan,nan,low-recombination-rate,1,0
4.532282377739209,5,nan,nan,mds,nan,nan,low-recombination-rate,1,0
4.119713984310165,6,nan,nan,mds,nan,nan,low-recombination-rate,1,0
3.7492365133325958,7,nan,nan,mds,nan,nan,low-recombination-rate,1,0
3.4975069231246003,8,nan,nan,mds,nan,nan,low-recombination-rate,1,0
3.2602686000433896,9,nan,nan,mds,nan,nan,low-recombination-rate,1,0
3.062529825262691,10,nan,nan,mds,nan,nan,low-recombination-rate,1,0
12.011740949630411,nan,15.0,100.0,t-sne,nan,nan,low-recombination-rate,1,0
12.582213188266246,nan,15.0,200.0,t-sne,nan,nan,low-recombination-rate,1,0
12.551661879875642,nan,15.0,500.0,t-sne,nan,nan,low-recombination-rate,1,0
11.719697859129623,nan,30.0,100.0,t-sne,nan,nan,low-recombination-rate,1,0
10.737343018720694,nan,30.0,200.0,t-sne,nan,nan,low-recombination-rate,1,0
11.682265794890828,nan,30.0,500.0,t-sne,nan,nan,low-recombination-rate,1,0
9.972983539724765,nan,100.0,100.0,t-sne,nan,nan,low-recombination-rate,1,0
9.846964264039341,nan,100.0,200.0,t-sne,nan,nan,low-recombination-rate,1,0
10.087796033220705,nan,100.0,500.0,t-sne,nan,nan,low-recombination-rate,1,0
10.256783921545935,nan,200.0,100.0,t-sne,nan,nan,low-recombination-rate,1,0
10.378762358644618,nan,200.0,200.0,t-sne,nan,nan,low-recombination-rate,1,0
9.93492754151193,nan,200.0,500.0,t-sne,nan,nan,low-recombination-rate,1,0
10.076570691956297,nan,300.0,100.0,t-sne,nan,nan,low-recombination-rate,1,0
9.93830251255727,nan,300.0,200.0,t-sne,nan,nan,low-recombination-rate,1,0
9.742205094398397,nan,300.0,500.0,t-sne,nan,nan,low-recombination-rate,1,0
11.569359781106588,nan,nan,nan,umap,25,0.05,low-recombination-rate,1,0
11.675148254838284,nan,nan,nan,umap,25,0.1,low-recombination-rate,1,0
12.336945166471827,nan,nan,nan,umap,25,0.25,low-recombination-rate,1,0
12.1774714350132,nan,nan,nan,umap,50,0.05,low-recombination-rate,1,0
12.400184815109112,nan,nan,nan,umap,50,0.1,low-recombination-rate,1,0
12.767900168815716,nan,nan,nan,umap,50,0.25,low-recombination-rate,1,0
13.691244123599507,nan,nan,nan,umap,100,0.05,low-recombination-rate,1,0
13.180548956443213,nan,nan,nan,umap,100,0.1,low-recombination-rate,1,0
16.851234040577513,nan,nan,nan,umap,100,0.25,low-recombination-rate,1,0
13.936025352870017,2,nan,nan,pca,nan,nan,low-recombination-rate,1,1
13.863846825098982,3,nan,nan,pca,nan,nan,low-recombination-rate,1,1
13.45259854070817,4,nan,nan,pca,nan,nan,low-recombination-rate,1,1
13.835440282830945,5,nan,nan,pca,nan,nan,low-recombination-rate,1,1
12.712975356254114,6,nan,nan,pca,nan,nan,low-recombination-rate,1,1
8.788411244260443,2,nan,nan,mds,nan,nan,low-recombination-rate,1,1
6.976248061483712,3,nan,nan,mds,nan,nan,low-recombination-rate,1,1
6.035481940439783,4,nan,nan,mds,nan,nan,low-recombination-rate,1,1
5.355952831816687,5,nan,nan,mds,nan,nan,low-recombination-rate,1,1
4.80762796566988,6,nan,nan,mds,nan,nan,low-recombination-rate,1,1
4.370638403455383,7,nan,nan,mds,nan,nan,low-recombination-rate,1,1
4.0389913442880205,8,nan,nan,mds,nan,nan,low-recombination-rate,1,1
3.764966225133022,9,nan,nan,mds,nan,nan,low-recombination-rate,1,1
3.5223306448919662,10,nan,nan,mds,nan,nan,low-recombination-rate,1,1
17.39092829773609,nan,15.0,100.0,t-sne,nan,nan,low-recombination-rate,1,1
17.453511740980485,nan,15.0,200.0,t-sne,nan,nan,low-recombination-rate,1,1
17.76401455390381,nan,15.0,500.0,t-sne,nan,nan,low-recombination-rate,1,1
17.166310501115934,nan,30.0,100.0,t-sne,nan,nan,low-recombination-rate,1,1
16.455916377956964,nan,30.0,200.0,t-sne,nan,nan,low-recombination-rate,1,1
18.107094496464903,nan,30.0,500.0,t-sne,nan,nan,low-recombination-rate,1,1
18.68342113498407,nan,100.0,100.0,t-sne,nan,nan,low-recombination-rate,1,1
