perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	200.0	precomputed	12883823	True	t-sne	0	0.0	0.33123502508391195	397848	44289	11538	5686	401270	41385	11032	5674	0.3337706386268142
15.0	200.0	precomputed	12883823	True	t-sne	1	0.0	0.3337706386268142	401270	41385	11032	5674	397848	44289	11538	5686	0.33123502508391195
15.0	200.0	precomputed	12883823	True	t-sne	2	0.0	0.3946435484788118	403524	40609	12090	3138	398561	43366	11867	5567	0.34225497710386427
15.0	200.0	precomputed	12883823	True	t-sne	3	0.0	0.34225497710386427	398561	43366	11867	5567	403524	40609	12090	3138	0.3946435484788118
15.0	200.0	precomputed	12883823	True	t-sne	4	0.0	0.26035480030585384	395269	44331	10194	9567	401965	42173	11034	4189	0.35231404388259807
15.0	200.0	precomputed	12883823	True	t-sne	5	0.0	0.35231404388259807	401965	42173	11034	4189	395269	44331	10194	9567	0.26035480030585384
