parental_A,parental_B,recombinant_X,method,distance_A_B,distance_A_X,distance_B_X,X_maps_closer_to_both_parentals,X_maps_closer_to_any_parental
BA.2.76,BA.5.2,XBG,PCA,1.6749,0.0027,1.6769,False,True
BA.2.3.17,BA.2.75.2,XBH,PCA,0.1191,0.0014,0.1199,False,True
BA.2.3.20,BA.5.2,XBJ,PCA,1.6786,0.0002,1.6786,False,True
BA.2.75,XBB.1.5.57,XBL,PCA,0.1183,0.1179,0.0015,True,True
BA.2.76,BF.3,XBM,PCA,0.0005,0.0003,0.0002,True,True
BA.2.75,XBB.3,XBN,PCA,0.1191,0.1188,0.0006,True,True
BA.2.75,BQ.1,XBP,PCA,0.0535,0.0048,0.056,False,True
BA.2.75,BQ.1,XBR,PCA,0.0535,0.0044,0.056,False,True
BA.2.75,BQ.1,XBS,PCA,0.0535,0.0053,0.0579,False,True
BA.2.75,BA.5.2.34,XBT,PCA,2.001,0.001,2.0012,False,True
BA.2.75.3,BQ.1,XBU,PCA,0.0534,0.001,0.0539,False,True
CR.1,XBB.1,XBV,PCA,1.8893,0.0054,1.8848,True,True
BQ.1.14,XBB.1.5,XBW,PCA,0.0862,0.087,0.0022,False,True
BA.5.2,EF.1.3,XBZ,PCA,1.7479,1.748,0.0011,False,True
BA.2.75,BQ.1,XCA,PCA,0.0535,0.0093,0.0589,False,True
CH.1.1.1,XBB.1.9.1,XCC,PCA,0.9786,0.8607,0.1186,True,True
FE.1,XBB,XCF,PCA,0.002,0.0018,0.0005,True,True
BA.5.2,XBB.1,XCG,PCA,1.6778,1.6751,0.0032,True,True
GK.1.3,XBB.1.9,XCH,PCA,0.3437,0.0097,0.3369,True,True
GK.2.1.1,XBB,XCL,PCA,0.009,0.001,0.0098,False,True
DV.7.1,XBB.2.3,XCM,PCA,1.0103,0.1014,0.9215,True,True
EG.5.1.10,JD.1.1,XCP,PCA,3.1455,2.8119,0.3341,True,True
XBB.1.5,XBB.2.3,XCQ,PCA,0.0023,0.0021,0.0003,True,True
FU.1.1.1,GK.1.1.1,XCR,PCA,0.0096,0.0032,0.01,False,True
DV.7.1,JG.4,XCT,PCA,3.078,3.1664,0.9028,False,True
EG.5.1.3,XBB.1.16.19,XCV,PCA,3.1507,0.0756,3.1446,True,True
XBB.1.16.15,XBB.2.3.20,XCW,PCA,0.0011,0.0026,0.0019,False,False
HN.5,XBB.1.16,XDA,PCA,0.3321,0.3325,0.0014,False,True
XBB,XBB.1.16.19,XDB,PCA,0.0022,0.0011,0.0022,False,True
B.1.617.2,BA.1,XD,MDS,66.9019,67.1346,44.9875,False,True
BA.1,BA.2,XE,MDS,48.7987,30.5675,21.3518,True,True
B.1.617.2,BA.1,XF,MDS,66.9019,63.1218,8.5649,True,True
BA.1,BA.2,XG,MDS,48.7987,39.2779,14.4306,True,True
BA.1,BA.2,XH,MDS,48.7987,31.9329,26.3587,True,True
BA.1,BA.2,XL,MDS,48.7987,37.9513,14.3753,True,True
BA.1.1,BA.2,XM,MDS,50.3488,25.4518,28.8823,True,True
BA.1,BA.2,XN,MDS,48.7987,43.5812,8.1953,True,True
BA.1.1,BA.2,XP,MDS,50.3488,5.8237,52.1118,False,True
BA.1.1,BA.2,XQ,MDS,50.3488,42.1013,9.7017,True,True
BA.1.1,BA.2,XR,MDS,50.3488,42.3128,13.7554,True,True
B.1.617.2,BA.1.1,XS,MDS,67.6638,66.0465,12.8712,True,True
BA.1,BA.2,XV,MDS,48.7987,27.136,25.5193,True,True
BA.1,BA.2,XW,MDS,48.7987,40.63,10.3831,True,True
BA.1,BA.2,XY,MDS,48.7987,30.4112,30.2026,True,True
BA.1,BA.2,XZ,MDS,48.7987,43.5656,9.6906,True,True
BA.1,BA.2,XAA,MDS,48.7987,38.6532,14.6773,True,True
BA.1,BA.2,XAB,MDS,48.7987,38.1829,14.0202,True,True
BA.1,BA.2,XAC,MDS,48.7987,45.0257,13.9523,True,True
BA.1,BA.2,XAD,MDS,48.7987,42.5517,11.3982,True,True
BA.1,BA.2,XAE,MDS,48.7987,43.585,17.3793,True,True
BA.1,BA.2,XAF,MDS,48.7987,31.1505,28.4707,True,True
BA.1,BA.2,XAG,MDS,48.7987,38.3042,18.162,True,True
BA.1,BA.2,XAH,MDS,48.7987,42.5729,12.2187,True,True
BA.2.12.1,BA.4,XAJ,MDS,16.3589,13.2901,10.3375,True,True
BA.1,BA.2,XAK,MDS,48.7987,43.2449,20.7957,True,True
BA.1,BA.2,XAL,MDS,48.7987,24.454,29.2278,True,True
BA.1.1,BA.2.9,XAM,MDS,48.8992,39.9897,14.8325,True,True
BA.2,BA.5.1,XAN,MDS,20.6179,19.052,9.8646,True,True
BA.1,BA.2,XAP,MDS,48.7987,43.9195,9.4061,True,True
BA.1,BA.2,XAR,MDS,48.7987,43.9478,8.4375,True,True
BA.2,BA.5,XAS,MDS,23.6232,9.1968,16.569,True,True
BA.1.1,BA.2.9,XAU,MDS,48.8992,42.0585,11.5493,True,True
BA.2,BA.5,XAV,MDS,23.6232,16.0877,12.405,True,True
BA.2.5,BA.5,XAZ,MDS,23.7065,20.3539,12.5548,True,True
BA.2.75.2,BF.5,XBD,MDS,51.184,21.4666,43.0965,True,True
BA.5.2,BE.4.1,XBE,MDS,15.5603,7.4635,12.4904,True,True
BA.2.76,BA.5.2,XBG,MDS,27.6474,28.7245,16.9684,False,True
BA.2.3.17,BA.2.75.2,XBH,MDS,24.9829,17.5284,14.1813,True,True
BA.2.3.20,BA.5.2,XBJ,MDS,47.0567,55.9555,38.0606,False,True
BA.2.75,XBB.1.5.57,XBL,MDS,33.9959,32.1698,10.5196,True,True
BA.2.76,BF.3,XBM,MDS,27.2996,26.3289,10.3639,True,True
BA.2.75,XBB.3,XBN,MDS,32.0452,28.582,18.1892,True,True
BA.2.75,BQ.1,XBP,MDS,37.6542,31.4054,22.4465,True,True
BA.2.75,BQ.1,XBR,MDS,37.6542,34.9638,23.5727,True,True
BA.2.75,BQ.1,XBS,MDS,37.6542,27.5468,18.2844,True,True
BA.2.75,BA.5.2.34,XBT,MDS,45.6426,35.3709,23.9417,True,True
BA.2.75.3,BQ.1,XBU,MDS,36.964,14.805,36.6244,True,True
CR.1,XBB.1,XBV,MDS,52.615,41.674,24.7812,True,True
BQ.1.14,XBB.1.5,XBW,MDS,57.4073,50.7185,25.4583,True,True
BA.5.2,EF.1.3,XBZ,MDS,19.2353,18.9407,6.2842,True,True
BA.2.75,BQ.1,XCA,MDS,37.6542,42.0259,32.4971,False,True
CH.1.1.1,XBB.1.9.1,XCC,MDS,46.4485,35.7276,12.9782,True,True
FE.1,XBB,XCF,MDS,11.4929,9.4517,12.3507,False,True
BA.5.2,XBB.1,XCG,MDS,48.9571,45.7204,10.0828,True,True
GK.1.3,XBB.1.9,XCH,MDS,23.4283,19.9431,22.9046,True,True
GK.2.1.1,XBB,XCL,MDS,28.1955,25.8999,23.9038,True,True
DV.7.1,XBB.2.3,XCM,MDS,53.4473,49.2399,38.2703,True,True
EG.5.1.10,JD.1.1,XCP,MDS,23.4976,16.5046,19.3907,True,True
XBB.1.5,XBB.2.3,XCQ,MDS,16.2271,13.7383,15.7092,True,True
FU.1.1.1,GK.1.1.1,XCR,MDS,25.0492,17.7895,16.3758,True,True
DV.7.1,JG.4,XCT,MDS,55.3541,26.4337,34.7321,True,True
EG.5.1.3,XBB.1.16.19,XCV,MDS,32.0794,9.8753,26.9743,True,True
XBB.1.16.15,XBB.2.3.20,XCW,MDS,35.3426,33.2785,25.0905,True,True
HN.5,XBB.1.16,XDA,MDS,19.0139,17.4985,9.7649,True,True
XBB,XBB.1.16.19,XDB,MDS,27.2169,22.5954,7.2325,True,True
B.1.617.2,BA.1,XD,t-SNE,6.8195,1.3813,5.8189,True,True
BA.1,BA.2,XE,t-SNE,83.2155,79.9215,15.1652,True,True
B.1.617.2,BA.1,XF,t-SNE,6.8195,5.9139,2.7994,True,True
BA.1,BA.2,XG,t-SNE,83.2155,80.6267,9.8172,True,True
BA.1,BA.2,XH,t-SNE,83.2155,80.759,14.4483,True,True
BA.1,BA.2,XL,t-SNE,83.2155,79.4506,10.4659,True,True
BA.1.1,BA.2,XM,t-SNE,81.0734,77.4981,16.9458,True,True
BA.1,BA.2,XN,t-SNE,83.2155,81.8585,6.6807,True,True
BA.1.1,BA.2,XP,t-SNE,81.0734,2.5615,82.3755,False,True
BA.1.1,BA.2,XQ,t-SNE,81.0734,79.8825,9.2155,True,True
BA.1.1,BA.2,XR,t-SNE,81.0734,81.0135,9.1654,True,True
B.1.617.2,BA.1.1,XS,t-SNE,5.9166,3.8396,4.3951,True,True
BA.1,BA.2,XV,t-SNE,83.2155,80.2873,16.2719,True,True
BA.1,BA.2,XW,t-SNE,83.2155,84.1611,7.2432,False,True
BA.1,BA.2,XY,t-SNE,83.2155,81.5366,16.4818,True,True
BA.1,BA.2,XZ,t-SNE,83.2155,78.6219,6.8341,True,True
BA.1,BA.2,XAA,t-SNE,83.2155,79.7493,11.6265,True,True
BA.1,BA.2,XAB,t-SNE,83.2155,81.4899,10.289,True,True
BA.1,BA.2,XAC,t-SNE,83.2155,80.4841,6.5156,True,True
BA.1,BA.2,XAD,t-SNE,83.2155,77.8401,7.6528,True,True
BA.1,BA.2,XAE,t-SNE,83.2155,77.8131,8.6768,True,True
BA.1,BA.2,XAF,t-SNE,83.2155,81.6898,14.8377,True,True
BA.1,BA.2,XAG,t-SNE,83.2155,82.9732,11.0831,True,True
BA.1,BA.2,XAH,t-SNE,83.2155,77.6717,6.8359,True,True
BA.2.12.1,BA.4,XAJ,t-SNE,7.3054,2.0395,5.3302,True,True
BA.1,BA.2,XAK,t-SNE,83.2155,87.8249,6.7487,False,True
BA.1,BA.2,XAL,t-SNE,83.2155,79.9634,17.0461,True,True
BA.1.1,BA.2.9,XAM,t-SNE,80.011,79.3533,8.1032,True,True
BA.2,BA.5.1,XAN,t-SNE,34.621,32.6262,2.3006,True,True
BA.1,BA.2,XAP,t-SNE,83.2155,78.6282,6.4706,True,True
BA.1,BA.2,XAR,t-SNE,83.2155,82.2681,6.661,True,True
BA.2,BA.5,XAS,t-SNE,36.2616,8.7982,35.0051,True,True
BA.1.1,BA.2.9,XAU,t-SNE,80.011,78.6752,4.3044,True,True
BA.2,BA.5,XAV,t-SNE,36.2616,31.5618,4.903,True,True
BA.2.5,BA.5,XAZ,t-SNE,35.091,32.0119,3.288,True,True
BA.2.75.2,BF.5,XBD,t-SNE,29.8871,2.7747,27.1473,True,True
BA.5.2,BE.4.1,XBE,t-SNE,9.8305,7.1551,2.7432,True,True
BA.2.76,BA.5.2,XBG,t-SNE,34.9781,29.6112,5.4254,True,True
BA.2.3.17,BA.2.75.2,XBH,t-SNE,20.4459,18.6443,1.8964,True,True
BA.2.3.20,BA.5.2,XBJ,t-SNE,29.004,1.3021,27.7085,True,True
BA.2.75,XBB.1.5.57,XBL,t-SNE,29.4953,25.3647,4.2262,True,True
BA.2.76,BF.3,XBM,t-SNE,38.969,28.5518,10.4725,True,True
BA.2.75,XBB.3,XBN,t-SNE,27.1723,24.7515,2.4848,True,True
BA.2.75,BQ.1,XBP,t-SNE,23.5807,11.4148,13.9941,True,True
BA.2.75,BQ.1,XBR,t-SNE,23.5807,12.3997,12.3069,True,True
BA.2.75,BQ.1,XBS,t-SNE,23.5807,11.3229,13.4357,True,True
BA.2.75,BA.5.2.34,XBT,t-SNE,25.7073,24.3281,3.0458,True,True
BA.2.75.3,BQ.1,XBU,t-SNE,23.3079,1.9711,21.3399,True,True
CR.1,XBB.1,XBV,t-SNE,51.7249,60.9334,9.3361,False,True
BQ.1.14,XBB.1.5,XBW,t-SNE,38.0596,43.2491,5.3781,False,True
BA.5.2,EF.1.3,XBZ,t-SNE,19.1281,19.3319,0.7693,False,True
BA.2.75,BQ.1,XCA,t-SNE,23.5807,8.7833,15.6149,True,True
CH.1.1.1,XBB.1.9.1,XCC,t-SNE,25.6705,21.8715,4.7319,True,True
FE.1,XBB,XCF,t-SNE,5.0525,2.6514,6.9697,False,True
BA.5.2,XBB.1,XCG,t-SNE,49.5289,48.6898,1.9267,True,True
GK.1.3,XBB.1.9,XCH,t-SNE,14.9493,1.0855,15.5753,False,True
GK.2.1.1,XBB,XCL,t-SNE,10.9662,1.0967,9.8806,True,True
DV.7.1,XBB.2.3,XCM,t-SNE,23.316,15.1889,9.793,True,True
EG.5.1.10,JD.1.1,XCP,t-SNE,25.6707,26.1966,1.1059,False,True
XBB.1.5,XBB.2.3,XCQ,t-SNE,8.3146,7.3521,1.4495,True,True
FU.1.1.1,GK.1.1.1,XCR,t-SNE,22.416,24.0732,2.5219,False,True
DV.7.1,JG.4,XCT,t-SNE,25.6145,12.5387,15.2766,True,True
EG.5.1.3,XBB.1.16.19,XCV,t-SNE,14.9501,3.4705,13.4612,True,True
XBB.1.16.15,XBB.2.3.20,XCW,t-SNE,27.5006,27.7803,4.8285,False,True
HN.5,XBB.1.16,XDA,t-SNE,19.4454,16.0968,3.7389,True,True
XBB,XBB.1.16.19,XDB,t-SNE,20.881,20.2089,1.191,True,True
B.1.617.2,BA.1,XD,UMAP,10.339,0.0916,10.2896,True,True
BA.1,BA.2,XE,UMAP,9.8379,7.6663,4.5391,True,True
B.1.617.2,BA.1,XF,UMAP,10.339,10.0259,0.5558,True,True
BA.1,BA.2,XG,UMAP,9.8379,8.9344,2.9853,True,True
BA.1,BA.2,XH,UMAP,9.8379,7.4594,4.9333,True,True
BA.1,BA.2,XL,UMAP,9.8379,8.935,2.9793,True,True
BA.1.1,BA.2,XM,UMAP,10.0379,7.5531,4.9433,True,True
BA.1,BA.2,XN,UMAP,9.8379,9.2919,2.0109,True,True
BA.1.1,BA.2,XP,UMAP,10.0379,0.7617,10.3604,False,True
BA.1.1,BA.2,XQ,UMAP,10.0379,9.3877,2.1644,True,True
BA.1.1,BA.2,XR,UMAP,10.0379,9.1378,2.8632,True,True
B.1.617.2,BA.1.1,XS,UMAP,10.1501,9.6149,0.8607,True,True
BA.1,BA.2,XV,UMAP,9.8379,7.5045,4.828,True,True
BA.1,BA.2,XW,UMAP,9.8379,9.1626,2.3676,True,True
BA.1,BA.2,XY,UMAP,9.8379,7.3339,5.2175,True,True
BA.1,BA.2,XZ,UMAP,9.8379,12.0332,2.435,False,True
BA.1,BA.2,XAA,UMAP,9.8379,9.0085,2.8756,True,True
BA.1,BA.2,XAB,UMAP,9.8379,8.956,2.9046,True,True
BA.1,BA.2,XAC,UMAP,9.8379,12.4845,2.84,False,True
BA.1,BA.2,XAD,UMAP,9.8379,11.9621,2.4127,False,True
BA.1,BA.2,XAE,UMAP,9.8379,12.6045,2.9659,False,True
BA.1,BA.2,XAF,UMAP,9.8379,7.4064,5.0616,True,True
BA.1,BA.2,XAG,UMAP,9.8379,8.8108,3.3192,True,True
BA.1,BA.2,XAH,UMAP,9.8379,12.4164,2.7639,False,True
BA.2.12.1,BA.4,XAJ,UMAP,2.4876,0.8844,2.9852,False,True
BA.1,BA.2,XAK,UMAP,9.8379,9.544,2.8958,True,True
BA.1,BA.2,XAL,UMAP,9.8379,7.4266,4.9742,True,True
BA.1.1,BA.2.9,XAM,UMAP,10.1479,8.9884,2.6265,True,True
BA.2,BA.5.1,XAN,UMAP,16.6488,16.66,0.8336,False,True
BA.1,BA.2,XAP,UMAP,9.8379,11.972,2.3856,False,True
BA.1,BA.2,XAR,UMAP,9.8379,9.385,1.8224,True,True
