perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
30.0	500.0	precomputed	12883823	True	t-sne	0	8.0	0.5929419677112348	348183	5537	50290	55351	366715	749	51668	40229	0.704851549792049
30.0	500.0	precomputed	12883823	True	t-sne	1	8.0	0.704851549792049	366715	749	51668	40229	348183	5537	50290	55351	0.5929419677112348
30.0	500.0	precomputed	12883823	True	t-sne	2	8.0	0.5960901481745102	339050	677	52022	67612	350669	6069	49164	53459	0.5917495663354597
30.0	500.0	precomputed	12883823	True	t-sne	3	8.0	0.5917495663354597	350669	6069	49164	53459	339050	677	52022	67612	0.5960901481745102
30.0	500.0	precomputed	12883823	True	t-sne	4	8.0	0.589939036905823	350118	5582	48943	54718	349511	4437	48770	56643	0.5914472542023972
30.0	500.0	precomputed	12883823	True	t-sne	5	8.0	0.5914472542023972	349511	4437	48770	56643	350118	5582	48943	54718	0.589939036905823
