n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
25	0.25	spectral	12883823	umap	0	10.0	0.17941645866754508	17913	1026	7052	30625	19473	937	6998	29208	0.20383533652779884
25	0.25	spectral	12883823	umap	1	10.0	0.20383533652779884	19473	937	6998	29208	17913	1026	7052	30625	0.17941645866754508
25	0.25	spectral	12883823	umap	2	10.0	0.40717007006025785	30042	62	7353	19159	7616	1036	7684	40280	0.040332911394014806
25	0.25	spectral	12883823	umap	3	10.0	0.040332911394014806	7616	1036	7684	40280	30042	62	7353	19159	0.40717007006025785
25	0.25	spectral	12883823	umap	4	10.0	0.018857453806355107	6094	836	6980	42706	17262	986	7284	31084	0.1797208928290234
25	0.25	spectral	12883823	umap	5	10.0	0.1797208928290234	17262	986	7284	31084	6094	836	6980	42706	0.018857453806355107
