metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
precomputed	12883823	True	t-sne	0	10.0	0.5819124695858165	63065	368	10507	13631	58124	294	9816	19337	0.4891125509440389
precomputed	12883823	True	t-sne	1	10.0	0.4891125509440389	58124	294	9816	19337	63065	368	10507	13631	0.5819124695858165
precomputed	12883823	True	t-sne	2	10.0	0.49129658775270296	56828	191	10350	20202	48774	84	10335	28378	0.4068715925042612
precomputed	12883823	True	t-sne	3	10.0	0.4068715925042612	48774	84	10335	28378	56828	191	10350	20202	0.49129658775270296
precomputed	12883823	True	t-sne	4	10.0	0.4858204110330884	57116	418	10288	19749	41694	1	10242	35634	0.3469008432066819
precomputed	12883823	True	t-sne	5	10.0	0.3469008432066819	41694	1	10242	35634	57116	418	10288	19749	0.4858204110330884
