init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
spectral	12883823	umap	0	4.0	0.7299685940309172	70378	531	10344	6318	72457	1472	8638	5004	0.6959668450633717
spectral	12883823	umap	1	4.0	0.6959668450633717	72457	1472	8638	5004	70378	531	10344	6318	0.7299685940309172
spectral	12883823	umap	2	4.0	0.7106308472321965	69095	77	10464	7935	69371	1028	9391	7781	0.6527458002871488
spectral	12883823	umap	3	4.0	0.6527458002871488	69371	1028	9391	7781	69095	77	10464	7935	0.7106308472321965
spectral	12883823	umap	4	4.0	0.7368829447747223	71086	627	10079	5779	72486	923	9320	4842	0.7395517066421612
spectral	12883823	umap	5	4.0	0.7395517066421612	72486	923	9320	4842	71086	627	10079	5779	0.7368829447747223
