strain	date	accession	country	region
A/swine/Alabama/A02267936/2018	2018-10-03	MK156668	USA	N
A/swine/Arkansas/A01678568/2018	2018-06-05	MH492502	USA	N
A/swine/Arkansas/A01678570/2018	2018-06-25	MH629745	USA	N
A/swine/Arkansas/A01678573/2018	2018-08-02	MH769755	USA	N
A/swine/Arkansas/A01678574/2018	2018-08-06	MH778316	USA	N
A/swine/Arkansas/A01678575/2018	2018-08-06	MH778318	USA	N
A/swine/Arkansas/A01678578/2018	2018-08-09	MH791294	USA	N
A/swine/Arkansas/A01678584/2018	2018-09-06	MH924164	USA	N
A/swine/Arkansas/A01678589/2018	2018-10-12	MK106025	USA	N
A/swine/Arkansas/A01678590/2018	2018-10-17	MK106027	USA	N
A/swine/BritishColumbia/SD0286/2018	2018-04-10	MK462435	Canada	N
A/swine/BritishColumbia/SD0290/2018	2018-04-23	MK462298	Canada	N
A/swine/California/A01104141/2020	2020-02-12	MT269488	USA	N
A/swine/Colorado/A01785738/2018	2018-11-05	MK243702	USA	N
A/swine/IA/24486/2018	2018-04-06	MN328313	USA	N
A/swine/IA/26354/2018	2018-04-11	MN328315	USA	N
A/swine/IA/32152/2018	2018-05-03	MN328320	USA	N
A/swine/IA/34208/2018	2018-05-10	MN328323	USA	N
A/swine/IA/37507/2018	2018-05-23	MN328325	USA	N
A/swine/IA/38421/2018	2018-05-25	MN328326	USA	N
A/swine/IA/46375/2018	2018-06-27	MN328328	USA	N
A/swine/Illinois/A02140801/2018	2018-01-10	MG930918	USA	N
A/swine/Illinois/A02154869/2018	2018-03-09	MH160330	USA	N
A/swine/Illinois/A02155577/2018	2018-01-09	MH094828	USA	N
A/swine/Illinois/A02157056/2018	2018-03-28	MH259517	USA	N
A/swine/Illinois/A02257390/2018	2018-09-08	MK039811	USA	N
A/swine/Illinois/A02270099/2018	2018-11-20	MK318186	USA	N
A/swine/Illinois/A02271345/2018	2018-12-06	MK391652	USA	N
A/swine/Illinois/A02427656/2018	2018-12-10	MK391664	USA	N
A/swine/Illinois/A02429956/2019	2019-01-22	MK532488	USA	N
A/swine/Illinois/A02430687/2019	2019-02-21	MK640454	USA	N
A/swine/Illinois/A02430694/2019	2019-02-19	MK640446	USA	N
A/swine/Illinois/A02432162/2019	2019-04-10	MK878753	USA	N
A/swine/Illinois/A02478479/2019	2019-05-08	MN022494	USA	N
A/swine/Illinois/A02478493/2019	2019-05-14	MN066321	USA	N
A/swine/Illinois/A02478532/2019	2019-05-30	MN128333	USA	N
A/swine/Illinois/A02478665/2019	2019-09-03	MN544228	USA	N
A/swine/Illinois/A02478682/2019	2019-09-23	MN575724	USA	N
A/swine/Illinois/A02478828/2019	2019-10-31	MT052132	USA	N
A/swine/Illinois/A02478883/2019	2019-11-14	MT052078	USA	N
A/swine/Illinois/A02478926/2019	2019-11-25	MN932015	USA	N
A/swine/Illinois/A02478974/2019	2019-12-26	MN999903	USA	N
A/swine/Illinois/A02479007/2020	2020-01-21	MT052068	USA	N
A/swine/Illinois/A02479027/2020	2020-01-23	MT077021	USA	N
A/swine/Illinois/A02479045/2020	2020-02-03	MT121031	USA	N
A/swine/Illinois/A02479065/2020	2020-02-12	MT232778	USA	N
A/swine/Indiana/18TOSU2186/2018	2018-08-01	MN198870	USA	N
A/swine/Indiana/18TOSU2860/2018	2018-06-01	MN198894	USA	N
A/swine/Indiana/18TOSU3605/2018	2018-06-01	MH791962	USA	N
A/swine/Indiana/18TOSU3611/2018	2018-06-01	MH791959	USA	N
A/swine/Indiana/18TOSU3614/2018	2018-06-01	MH791956	USA	N
A/swine/Indiana/A01797992/2019	2019-04-24	MK967633	USA	N
A/swine/Indiana/A01812290/2019	2019-04-01	MK890149	USA	N
A/swine/Indiana/A01812292/2019	2019-04-16	MK893081	USA	N
A/swine/Indiana/A01812297/2019	2019-10-24	MN794431	USA	N
A/swine/Indiana/A01812299/2019	2019-12-12	MT027816	USA	N
A/swine/Indiana/A01812302/2020	2020-01-28	MT069941	USA	N
A/swine/Indiana/A02245511/2020	2020-02-24	MT232789	USA	N
A/swine/Indiana/A02254461/2018	2018-07-26	MH802666	USA	N
A/swine/Indiana/A02256610/2018	2018-08-21	MH910359	USA	N
A/swine/Indiana/A02267447/2018	2018-10-09	MK156662	USA	N
A/swine/Indiana/A02267494/2018	2018-10-11	MK129518	USA	N
A/swine/Indiana/A02270009/2018	2018-11-15	MK358866	USA	N
A/swine/Indiana/A02270141/2018	2018-11-21	MK358906	USA	N
A/swine/Indiana/A02427957/2018	2018-12-27	MK418462	USA	N
A/swine/Indiana/A02429798/2019	2019-01-08	MK503412	USA	N
A/swine/Indiana/A02429957/2019	2019-01-24	MK532494	USA	N
A/swine/Indiana/A02430356/2019	2019-02-14	MK640458	USA	N
A/swine/Indiana/A02430541/2019	2019-02-19	MK622823	USA	N
A/swine/Indiana/A02431993/2019	2019-04-01	MK844249	USA	N
A/swine/Indiana/A02478626/2019	2019-08-22	MN450667	USA	N
A/swine/Indiana/A02478693/2019	2019-09-27	MN623504	USA	N
A/swine/Indiana/A02478727/2019	2019-10-04	MN630805	USA	N
A/swine/Indiana/A02478733/2019	2019-10-01	MN630819	USA	N
A/swine/Indiana/A02478818/2019	2019-10-28	MT052134	USA	N
A/swine/Indiana/A02478837/2019	2019-11-07	MT052070	USA	N
A/swine/Indiana/A02478890/2019	2019-11-19	MN932009	USA	N
A/swine/Indiana/A02478925/2019	2019-11-26	MN932019	USA	N
A/swine/Indiana/A02478941/2019	2019-12-06	MN931923	USA	N
A/swine/Indiana/A02478978/2019	2019-12-31	MN999911	USA	N
A/swine/Indiana/A02478983/2020	2020-01-09	MT020064	USA	N
A/swine/Indiana/A02479023/2020	2020-01-21	MT077025	USA	N
A/swine/Indiana/A02479025/2020	2020-01-21	MT077045	USA	N
A/swine/Indiana/A02479029/2019	2019-12-31	MT020076	USA	N
A/swine/Indiana/A02479085/2020	2020-02-26	MT233077	USA	N
A/swine/Indiana/A02479123/2020	2020-03-10	MT277372	USA	N
A/swine/Indiana/A02479148/2020	2020-03-18	MT319797	USA	N
A/swine/Iowa/18Tosu0373/2018	2018-06-07	MK705329	USA	N
A/swine/Iowa/18Tosu0383/2018	2018-06-07	MK705357	USA	N
A/swine/Iowa/18Tosu0394/2018	2018-06-07	MK705389	USA	N
A/swine/Iowa/18Tosu0488/2018	2018-06-07	MK705413	USA	N
A/swine/Iowa/A01678547/2018	2018-03-09	MH118091	USA	N
A/swine/Iowa/A01678555/2018	2018-04-11	MH257678	USA	N
A/swine/Iowa/A01678600/2018	2018-11-27	MK278918	USA	N
A/swine/Iowa/A01785504/2018	2018-03-08	MH223574	USA	N
A/swine/Iowa/A01785505/2018	2018-04-11	MH279977	USA	N
A/swine/Iowa/A01785594/2018	2018-08-03	MH843157	USA	N
A/swine/Iowa/A01785636/2018	2018-10-05	MK106629	USA	N
A/swine/Iowa/A01785783/2018	2018-12-07	MK405271	USA	N
A/swine/Iowa/A01785787/2018	2018-12-12	MK405261	USA	N
A/swine/Iowa/A01785918/2019	2019-01-31	MK551235	USA	N
A/swine/Iowa/A01797994/2019	2019-04-26	MK967589	USA	N
A/swine/Iowa/A01797996/2019	2019-04-17	MK967607	USA	N
A/swine/Iowa/A02016889/2018	2018-06-01	MH551252	USA	N
A/swine/Iowa/A02016894/2018	2018-06-05	MH551244	USA	N
A/swine/Iowa/A02016898/2018	2018-06-06	MH551260	USA	N
A/swine/Iowa/A02139245/2018	2018-01-02	MG917066	USA	N
A/swine/Iowa/A02139351/2018	2018-01-03	MG870262	USA	N
A/swine/Iowa/A02139353/2018	2018-01-04	MG917052	USA	N
A/swine/Iowa/A02140802/2018	2018-01-08	MG930910	USA	N
A/swine/Iowa/A02140874/2018	2018-01-19	MG930920	USA	N
A/swine/Iowa/A02142411/2018	2018-01-31	MH016406	USA	N
A/swine/Iowa/A02154071/2018	2018-02-21	MH094837	USA	N
A/swine/Iowa/A02154072/2018	2018-02-22	MH094818	USA	N
A/swine/Iowa/A02154076/2018	2018-02-22	MH094833	USA	N
A/swine/Iowa/A02154763/2018	2018-03-01	MH156837	USA	N
A/swine/Iowa/A02154766/2018	2018-03-02	MH156825	USA	N
A/swine/Iowa/A02155469/2018	2018-03-06	MH160338	USA	N
A/swine/Iowa/A02156987/2018	2018-03-20	MH201028	USA	N
A/swine/Iowa/A02157543/2018	2018-04-04	MH279995	USA	N
A/swine/Iowa/A02157567/2018	2018-04-09	MH279993	USA	N
A/swine/Iowa/A02157795/2018	2018-04-10	MH345752	USA	N
A/swine/Iowa/A02158151/2018	2018-04-24	MH371208	USA	N
A/swine/Iowa/A02158355/2018	2018-04-30	MH396714	USA	N
