n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
6	precomputed	2	1	12883823	mds	0	8.0	0.40904611495895177	55402	3722	8031	12246	53554	3837	6798	15611	0.31272169075831413
6	precomputed	2	1	12883823	mds	1	8.0	0.31272169075831413	53554	3837	6798	15611	55402	3722	8031	12246	0.40904611495895177
6	precomputed	2	1	12883823	mds	2	8.0	0.33811165678196525	54521	3461	6738	14681	54731	3625	8636	12808	0.4187029052127184
6	precomputed	2	1	12883823	mds	3	8.0	0.4187029052127184	54731	3625	8636	12808	54521	3461	6738	14681	0.33811165678196525
6	precomputed	2	1	12883823	mds	4	8.0	0.3771730352130072	56095	3515	7021	12770	54780	3584	8267	13169	0.4041642746977245
6	precomputed	2	1	12883823	mds	5	8.0	0.4041642746977245	54780	3584	8267	13169	56095	3515	7021	12770	0.3771730352130072
