perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	200.0	precomputed	12883823	True	t-sne	0	2.0	0.6715000855232436	63490	2772	8981	4158	64120	4980	5655	5045	0.457612745805889
15.0	200.0	precomputed	12883823	True	t-sne	1	2.0	0.457612745805889	64120	4980	5655	5045	63490	2772	8981	4158	0.6715000855232436
15.0	200.0	precomputed	12883823	True	t-sne	2	2.0	0.5342095880129024	67384	5444	4755	1818	62314	5144	7117	5225	0.5017430023125632
15.0	200.0	precomputed	12883823	True	t-sne	3	2.0	0.5017430023125632	62314	5144	7117	5225	67384	5444	4755	1818	0.5342095880129024
15.0	200.0	precomputed	12883823	True	t-sne	4	2.0	0.7402140004874873	66332	2267	8269	2533	63865	5906	5945	4084	0.473668279470266
15.0	200.0	precomputed	12883823	True	t-sne	5	2.0	0.473668279470266	63865	5906	5945	4084	66332	2267	8269	2533	0.7402140004874873
