n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
50	0.1	spectral	12883823	umap	0	2.0	0.5559760632724172	50831	0	11753	16817	39117	1087	9548	30048	0.31496455872429663
50	0.1	spectral	12883823	umap	1	2.0	0.31496455872429663	39117	1087	9548	30048	50831	0	11753	16817	0.5559760632724172
50	0.1	spectral	12883823	umap	2	2.0	0.26237660084662323	25280	0	10199	43922	31164	0	12261	36375	0.3410619777568225
50	0.1	spectral	12883823	umap	3	2.0	0.3410619777568225	31164	0	12261	36375	25280	0	10199	43922	0.26237660084662323
50	0.1	spectral	12883823	umap	4	2.0	0.27833143853936093	26690	0	10536	42175	39275	0	11851	28674	0.4111332007688717
50	0.1	spectral	12883823	umap	5	2.0	0.4111332007688717	39275	0	11851	28674	26690	0	10536	42175	0.27833143853936093
