n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
6	precomputed	2	1	12883823	mds	0	10.0	0.3789179358152014	53015	3533	8220	14633	46813	3189	7446	22352	0.26487048552414144
6	precomputed	2	1	12883823	mds	1	10.0	0.26487048552414144	46813	3189	7446	22352	53015	3533	8220	14633	0.3789179358152014
6	precomputed	2	1	12883823	mds	2	10.0	0.29262276840549933	51375	3448	6751	17827	51380	3456	8805	16159	0.3724548498180335
6	precomputed	2	1	12883823	mds	3	10.0	0.3724548498180335	51380	3456	8805	16159	51375	3448	6751	17827	0.29262276840549933
6	precomputed	2	1	12883823	mds	4	10.0	0.2949074511677017	49895	3328	7208	18970	49596	3308	8543	18353	0.3391047083732659
6	precomputed	2	1	12883823	mds	5	10.0	0.3391047083732659	49596	3308	8543	18353	49895	3328	7208	18970	0.2949074511677017
