strain,umap_x,umap_y,label
UAE/D1339.2/2014,0.2283513,16.769602,2
UAE/D469-14,1.1420867,16.587755,2
UAE/D511-14,0.947545,16.785706,2
Jordan_10_2015,9.13363,17.737068,0
ChinaGD01,8.584506,15.108006,0
D1189.1/15,8.407646,17.82897,0
D1271/15,8.109826,18.161148,0
Hufuf-KSA-11002/2015,8.337228,15.362727,0
Hufuf-KSA-9158/2015,7.2066517,18.457397,0
Jeddah-KSA-3RS2702/2015,8.414065,17.002024,0
Jeddah-KSA-C20843/2015,6.536315,18.517612,0
Jeddah-KSA-C21271/2015,6.791505,18.722147,0
Jeddah/D38b/2014,5.858174,18.506292,0
Jeddah/D40/2014,6.0133247,18.41139,0
Jeddah/D42/2014,5.908966,19.454262,0
Jeddah/D43b/2014,6.737364,19.16014,0
Jeddah/D45/2014,5.6771955,19.390766,0
Jeddah/D46b/2014,6.6678395,19.383938,0
Jeddah/D47/2014,6.232709,19.589699,0
Jeddah/D48/2014,6.187691,19.314129,0
Jeddah/D49/2014,5.761484,19.081442,0
Jeddah/D50b/2014,6.233767,18.994259,0
Jeddah/Jd1b/2015,8.711342,19.24837,0
Jeddah/Jd4/2015,8.339492,19.137445,0
Jeddah/Jd6b/2015,8.473649,18.845318,0
Jeddah/Jd7/2015,8.802105,18.862982,0
Jeddah/Jd85/2015,8.975963,18.901672,0
Jeddah/Jd86/2015,8.867587,19.070415,0
Jeddah/Jd87/2015,8.767214,18.594318,0
Jeddah/Jd90/2015,8.62806,19.081284,0
Jeddah/N51/2014,5.9168177,19.588438,0
Jeddah/N62b/2014,6.367008,19.639898,0
Jeddah/N68b/2014,5.9740095,19.253695,0
Jordan_1_2015,8.615191,17.771812,0
Kharj-KSA-2598/2015,7.871124,17.926065,0
Kharj-KSA-2599/2015,7.410241,18.533964,0
KOR/CNUH_SNU/016_06_2015,9.035732,14.8807335,0
KOR/CNUH_SNU/023_06_2015,8.721492,15.286088,0
KOR/CNUH_SNU/024_06_2015,8.85774,14.968577,0
KOR/CNUH_SNU/030_06_2015,8.851359,14.58357,0
KOR/CNUH_SNU/031_06_2015,8.837415,14.8157625,0
KOR/CNUH_SNU/038_06_2015,8.356561,15.289442,0
KOR/CNUH_SNU/054_06_2015,7.5556645,13.924329,0
KOR/CNUH_SNU/082_06_2015,7.8955684,14.428196,0
KOR/CNUH_SNU/085_06_2015,9.147501,14.696386,0
KOR/CNUH_SNU/110_06_2015,8.36924,14.410739,0
KOR/CNUH_SNU/122_06_2015,8.14695,15.161928,0
KOR/CNUH_SNU/148_06_2015,8.098897,14.111964,0
KOR/CNUH_SNU/172_06_2015,8.25584,15.223229,0
KOR/KNIH/002_05_2015,7.9380984,14.898919,0
KOR/Seoul/014-2015,8.61459,15.179783,0
KOR/Seoul/050-1-2015,8.471726,14.688517,0
KOR/Seoul/066-2015,8.104827,14.889534,0
KOR/Seoul/077-2-2015,8.253728,14.255782,0
KOR/Seoul/080-3-2015,7.8416424,14.58008,0
KOR/Seoul/162-1-2015,7.966058,13.93728,0
KOR/Seoul/169-2015,7.3899503,14.584931,0
KOR/Seoul/177-3-2015,8.2953615,13.916575,0
KOREA/Seoul/014-1-2015,8.557452,14.244628,0
KOREA/Seoul/035-1-2015,7.3417077,14.257132,0
KOREA/Seoul/163-1-2015,7.611211,14.523926,0
KOREA/Seoul/168-1-2015,7.3936644,14.259196,0
Korea/Seoul/SNU1-035/2015,7.6604357,14.175347,0
Najran-KSA-C20915/2015,6.1619287,18.664642,0
Riyadh-KSA-16077/2015,8.241697,18.062962,0
