perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	500.0	precomputed	12883823	True	t-sne	0	6.0	0.7243387575227032	61089	642	11111	6559	47248	72	10563	21917	0.4678999930443343
15.0	500.0	precomputed	12883823	True	t-sne	1	6.0	0.4678999930443343	47248	72	10563	21917	61089	642	11111	6559	0.7243387575227032
15.0	500.0	precomputed	12883823	True	t-sne	2	6.0	0.6021297014255275	58839	726	9473	10363	47455	1247	11014	20084	0.4443467148258388
15.0	500.0	precomputed	12883823	True	t-sne	3	6.0	0.4443467148258388	47455	1247	11014	20084	58839	726	9473	10363	0.6021297014255275
15.0	500.0	precomputed	12883823	True	t-sne	4	6.0	0.5002132779771452	50507	268	10268	18358	46827	1342	10509	21122	0.4186809933085066
15.0	500.0	precomputed	12883823	True	t-sne	5	6.0	0.4186809933085066	46827	1342	10509	21122	50507	268	10268	18358	0.5002132779771452
