strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
1_0181_PF	zika	KX447512	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson et al	https://www.ncbi.nlm.nih.gov/nuccore/KX447512	How Did Zika Virus Emerge in the Pacific Islands and Latin America?	MBio 7 (5), e01239-16 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27729507
1_0199_PF	zika	KX447519	2013-11-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson et al	https://www.ncbi.nlm.nih.gov/nuccore/KX447519	How Did Zika Virus Emerge in the Pacific Islands and Latin America?	MBio 7 (5), e01239-16 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/27729507
2016_HND_19563	zika	KX906952	2016-04-16	north_america	honduras	honduras	honduras	genbank	genome	Lamson et al	https://www.ncbi.nlm.nih.gov/nuccore/KX906952	Rapid Method for Sequencing Whole Genome Sequence of Zika Virus	Unpublished	?
31N	zika	MH900227	2016-XX-XX	north_america	mexico	mexico	mexico	genbank	genome	Izquierdo-Suzan et al	https://www.ncbi.nlm.nih.gov/nuccore/MH900227	Natural Vertical Transmission of Zika Virus in Larval Aedes aegypti Populations, Morelos, Mexico	Emerging Infect. Dis. 25 (8), 1477-1484 (2019)	?
3216DP137	zika	LC331561	2016-XX-XX	japan_korea	japan	japan	japan	genbank	genome	Yoshida et al	https://www.ncbi.nlm.nih.gov/nuccore/LC331561	Detection of Zika virus in Tokyo, Japan	Unpublished	?
34997/Pavia/2016	zika	KY003153	2016-04-XX	europe	italy	italy	italy	genbank	genome	Girello et al	https://www.ncbi.nlm.nih.gov/nuccore/KY003153	Culture isolation and full-genome sequencing of Zika virus from semen of international travellers, Italy 2016	Unpublished	?
459148_Meta_Colombia_2016	zika	MH544701	2016-01-17	south_america	colombia	colombia	colombia	genbank	genome	Laiton Donato et al	https://www.ncbi.nlm.nih.gov/nuccore/MH544701	Complete genome sequence Zika Virus strain without evidence of genetic variability after passage in Vero cells and brain inoculation BALB/c mice	Unpublished	?
AFMC_S	zika	KY962729	2016-04-XX	southeast_asia	philippines	philippines	philippines	genbank	genome	Gu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY962729	Whole-genome sequence analysis of Zika virus, amplified from urine of traveler from the Philippines	Virus Genes (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28795266
AFMC_U	zika	KY553111	2016-04-XX	southeast_asia	philippines	philippines	philippines	genbank	genome	Gu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY553111	Whole-genome sequence analysis of Zika virus, amplified from urine of traveler from the Philippines	Virus Genes (2017) In press	https://www.ncbi.nlm.nih.gov/pubmed/28795266
Aedes_aegypti/COL/FH04/2016	zika	MK049247	2016-01-29	south_america	colombia	colombia	colombia	genbank	genome	Black et al	https://www.ncbi.nlm.nih.gov/nuccore/MK049247	Genomic epidemiology supports multiple introductions and cryptic transmission of Zika virus in Colombia	Unpublished	?
