perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100.0	500.0	precomputed	12883823	True	t-sne	0	14.0	0.2953818271873788	181332	408	55419	222202	269359	99	52318	137585	0.4261355788035605
100.0	500.0	precomputed	12883823	True	t-sne	1	14.0	0.4261355788035605	269359	99	52318	137585	181332	408	55419	222202	0.2953818271873788
100.0	500.0	precomputed	12883823	True	t-sne	2	14.0	0.26999613743932394	168367	297	52402	238295	132264	0	55233	271864	0.23508363178000127
100.0	500.0	precomputed	12883823	True	t-sne	3	14.0	0.23508363178000127	132264	0	55233	271864	168367	297	52402	238295	0.26999613743932394
100.0	500.0	precomputed	12883823	True	t-sne	4	14.0	0.2855890437290832	176866	384	54141	227970	261253	105	53102	144901	0.41439267862576984
100.0	500.0	precomputed	12883823	True	t-sne	5	14.0	0.41439267862576984	261253	105	53102	144901	176866	384	54141	227970	0.2855890437290832
