perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100.0	500.0	precomputed	12883823	True	t-sne	0	4.0	0.5174573194924406	304741	408	55419	98793	304309	99	52318	102635	0.5015996668823225
100.0	500.0	precomputed	12883823	True	t-sne	1	4.0	0.5015996668823225	304309	99	52318	102635	304741	408	55419	98793	0.5174573194924406
100.0	500.0	precomputed	12883823	True	t-sne	2	4.0	0.4828996266222716	296817	297	52402	109845	302291	204	55029	101837	0.5104953858349766
100.0	500.0	precomputed	12883823	True	t-sne	3	4.0	0.5104953858349766	302291	204	55029	101837	296817	297	52402	109845	0.4828996266222716
100.0	500.0	precomputed	12883823	True	t-sne	4	4.0	0.4990713181355999	300017	384	54141	104819	299331	105	53102	106823	0.4937601833977367
100.0	500.0	precomputed	12883823	True	t-sne	5	4.0	0.4937601833977367	299331	105	53102	106823	300017	384	54141	104819	0.4990713181355999
