n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
6	precomputed	2	1	12883823	mds	0	14.0	0.13627351504699778	65773	898	54929	337761	66584	1078	51339	340360	0.12833759794886584
6	precomputed	2	1	12883823	mds	1	14.0	0.12833759794886584	66584	1078	51339	340360	65773	898	54929	337761	0.13627351504699778
6	precomputed	2	1	12883823	mds	2	14.0	0.15047187880170934	68833	37	52662	337829	62490	965	54268	341638	0.12928564042436583
6	precomputed	2	1	12883823	mds	3	14.0	0.12928564042436583	62490	965	54268	341638	68833	37	52662	337829	0.15047187880170934
6	precomputed	2	1	12883823	mds	4	14.0	0.12790819881903145	61582	902	53623	343254	70675	1084	52123	335479	0.13542368813865324
6	precomputed	2	1	12883823	mds	5	14.0	0.13542368813865324	70675	1084	52123	335479	61582	902	53623	343254	0.12790819881903145
