dissimilarity	n_components	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
precomputed	2	2	1	12883823	mds	0	4.0	0.5349026432996831	240519	2949	37238	55904	229670	4137	36503	67121	0.47418034647530993
precomputed	2	2	1	12883823	mds	1	4.0	0.47418034647530993	229670	4137	36503	67121	240519	2949	37238	55904	0.5349026432996831
precomputed	2	2	1	12883823	mds	2	4.0	0.5371516559932115	244660	3484	35969	52497	226563	3248	38321	69299	0.4849053513538971
precomputed	2	2	1	12883823	mds	3	4.0	0.4849053513538971	226563	3248	38321	69299	244660	3484	35969	52497	0.5371516559932115
precomputed	2	2	1	12883823	mds	4	4.0	0.510435078262108	237693	3144	35974	59799	228197	3861	37771	67602	0.48165795637587355
precomputed	2	2	1	12883823	mds	5	4.0	0.48165795637587355	228197	3861	37771	67602	237693	3144	35974	59799	0.510435078262108
