n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
25	0.05	spectral	12883823	umap	0	10.0	0.40268192416814463	253557	878	54949	149977	65490	0	52417	341454	0.14634545800699203
25	0.05	spectral	12883823	umap	1	10.0	0.14634545800699203	65490	0	52417	341454	253557	878	54949	149977	0.40268192416814463
25	0.05	spectral	12883823	umap	2	10.0	0.24985360443023374	153618	402	52297	253044	224465	1048	54185	179663	0.3490121215773888
25	0.05	spectral	12883823	umap	3	10.0	0.3490121215773888	224465	1048	54185	179663	153618	402	52297	253044	0.24985360443023374
25	0.05	spectral	12883823	umap	4	10.0	0.3394040873257599	212533	95	54430	192303	221228	7936	45271	184926	0.2531590428074244
25	0.05	spectral	12883823	umap	5	10.0	0.2531590428074244	221228	7936	45271	184926	212533	95	54430	192303	0.3394040873257599
