mae,components,perplexity,learning_rate,method,nearest_neighbors,min_dist,recombination_rate,replicate,train_test_split
11.88599200952944,2,nan,nan,pca,nan,nan,high-recombination-rate,1,0
11.692456121899756,3,nan,nan,pca,nan,nan,high-recombination-rate,1,0
10.956963760611071,4,nan,nan,pca,nan,nan,high-recombination-rate,1,0
10.854240457259445,5,nan,nan,pca,nan,nan,high-recombination-rate,1,0
10.274857178081646,6,nan,nan,pca,nan,nan,high-recombination-rate,1,0
7.94173851732369,2,nan,nan,mds,nan,nan,high-recombination-rate,1,0
6.504062200284189,3,nan,nan,mds,nan,nan,high-recombination-rate,1,0
5.665666753668469,4,nan,nan,mds,nan,nan,high-recombination-rate,1,0
4.9397260722801635,5,nan,nan,mds,nan,nan,high-recombination-rate,1,0
4.45200321863285,6,nan,nan,mds,nan,nan,high-recombination-rate,1,0
4.043920311634168,7,nan,nan,mds,nan,nan,high-recombination-rate,1,0
3.7164402255320708,8,nan,nan,mds,nan,nan,high-recombination-rate,1,0
3.438700335763563,9,nan,nan,mds,nan,nan,high-recombination-rate,1,0
3.239222550138165,10,nan,nan,mds,nan,nan,high-recombination-rate,1,0
17.02876897017775,nan,15.0,100.0,t-sne,nan,nan,high-recombination-rate,1,0
17.304932341683685,nan,15.0,200.0,t-sne,nan,nan,high-recombination-rate,1,0
16.541374291551715,nan,15.0,500.0,t-sne,nan,nan,high-recombination-rate,1,0
16.483303605558604,nan,30.0,100.0,t-sne,nan,nan,high-recombination-rate,1,0
16.080763405683587,nan,30.0,200.0,t-sne,nan,nan,high-recombination-rate,1,0
15.216787620221707,nan,30.0,500.0,t-sne,nan,nan,high-recombination-rate,1,0
12.9986578757683,nan,100.0,100.0,t-sne,nan,nan,high-recombination-rate,1,0
12.489840884260179,nan,100.0,200.0,t-sne,nan,nan,high-recombination-rate,1,0
14.181050648184844,nan,100.0,500.0,t-sne,nan,nan,high-recombination-rate,1,0
15.377436642739395,nan,200.0,100.0,t-sne,nan,nan,high-recombination-rate,1,0
14.247243080085408,nan,200.0,200.0,t-sne,nan,nan,high-recombination-rate,1,0
13.73707671928049,nan,200.0,500.0,t-sne,nan,nan,high-recombination-rate,1,0
13.937189627494242,nan,300.0,100.0,t-sne,nan,nan,high-recombination-rate,1,0
13.789557486510608,nan,300.0,200.0,t-sne,nan,nan,high-recombination-rate,1,0
13.849337984211962,nan,300.0,500.0,t-sne,nan,nan,high-recombination-rate,1,0
15.640807759456072,nan,nan,nan,umap,25,0.05,high-recombination-rate,1,0
17.74523336969639,nan,nan,nan,umap,25,0.1,high-recombination-rate,1,0
14.793145306305682,nan,nan,nan,umap,25,0.25,high-recombination-rate,1,0
17.38636883202929,nan,nan,nan,umap,50,0.05,high-recombination-rate,1,0
16.90350864071644,nan,nan,nan,umap,50,0.1,high-recombination-rate,1,0
