,metric,perplexity,learning_rate,method,confusion_matrix,matthews_cc,threshold,accuracy,init,n_neighbors,min_dist
27,precomputed,100.0,200.0,t-SNE,"[[17274  6186]
 [  866  3640]]",0.41903895960961624,-0.5015015015015014,0.7478366587999714,,,
28,precomputed,100.0,500.0,t-SNE,"[[17421  6039]
 [  861  3645]]",0.4261568378056055,-0.5315315315315314,0.7532718300793821,,,
29,precomputed,100.0,1000.0,t-SNE,"[[17478  5982]
 [ 1186  3320]]",0.3759613744458994,-0.5075075075075075,0.7436887649288422,,,
30,,,,UMAP,"[[19667  3793]
 [  942  3564]]",0.5254301547185165,-0.5195195195195197,0.8306872631051991,spectral,25.0,0.05
31,,,,UMAP,"[[18607  4853]
 [  790  3716]]",0.49270391846818,-0.5075075075075075,0.7982192662518772,spectral,25.0,0.5
32,,,,UMAP,"[[19667  3793]
 [  942  3564]]",0.5254301547185165,-0.5255255255255253,0.8306872631051991,spectral,100.0,0.05
33,,,,UMAP,"[[16805  6655]
 [  770  3736]]",0.41498476044108284,-0.4954954954954953,0.7344990345419438,spectral,100.0,0.5
34,,,,UMAP,"[[19584  3876]
 [  942  3564]]",0.520602880795909,-0.5075075075075075,0.8277193735249946,spectral,200.0,0.05
35,,,,UMAP,"[[19073  4387]
 [  921  3585]]",0.4956360028670577,-0.45345345345345356,0.8101980976900522,spectral,200.0,0.5
36,precomputed,15.0,100.0,t-SNE,"[[19605  4040]
 [ 1018  3303]]",0.48753219450506535,-0.5195195195195197,0.8191375241364514,,,
37,precomputed,15.0,200.0,t-SNE,"[[19559  4086]
 [ 1106  3215]]",0.4700753192560094,-0.5555555555555554,0.8143459915611815,,,
38,precomputed,15.0,500.0,t-SNE,"[[19639  4006]
 [ 1086  3235]]",0.4779458843724347,-0.4774774774774775,0.8179217621397411,,,
39,precomputed,15.0,1000.0,t-SNE,"[[23645     0]
 [ 4321     0]]",0.0,-0.5735735735735736,0.8454909533004362,,,
40,precomputed,30.0,100.0,t-SNE,"[[16389  7256]
 [  908  3413]]",0.3593797085026189,-0.41741741741741745,0.7080740899663878,,,
41,precomputed,30.0,200.0,t-SNE,"[[17083  6562]
 [  979  3342]]",0.37478031744827284,-0.4774774774774775,0.7303511406708145,,,
42,precomputed,30.0,500.0,t-SNE,"[[16296  7349]
 [  892  3429]]",0.3585187568105815,-0.4774774774774775,0.7053207466208968,,,
43,precomputed,30.0,1000.0,t-SNE,"[[21182  2463]
 [ 1994  2327]]",0.41670775166348073,-0.37537537537537524,0.8406279053135951,,,
44,precomputed,100.0,100.0,t-SNE,"[[16720  6925]
 [  889  3432]]",0.37527564469716057,-0.5075075075075075,0.7205892869913466,,,
45,precomputed,100.0,200.0,t-SNE,"[[16619  7026]
 [  899  3422]]",0.3696864634885396,-0.5135135135135136,0.7166201816491454,,,
46,precomputed,100.0,500.0,t-SNE,"[[17077  6568]
 [  972  3349]]",0.37570166893256246,-0.5135135135135136,0.7303868983766002,,,
47,precomputed,100.0,1000.0,t-SNE,"[[15337  8308]
 [  886  3435]]",0.324854847664709,-0.26726726726726735,0.6712436530072231,,,
48,,,,UMAP,"[[19226  4419]
 [  996  3325]]",0.4705912045553307,-0.5555555555555554,0.8063720231709933,spectral,25.0,0.05
49,,,,UMAP,"[[18742  4903]
 [  823  3498]]",0.47476621032753835,-0.5675675675675675,0.7952513766716728,spectral,25.0,0.5
50,,,,UMAP,"[[19797  3848]
 [  996  3325]]",0.5021896811390303,-0.5135135135135136,0.8267896731745691,spectral,100.0,0.05
51,,,,UMAP,"[[15049  8596]
 [  731  3590]]",0.3406095797021166,-0.41741741741741745,0.6664878781377387,spectral,100.0,0.5
52,,,,UMAP,"[[19797  3848]
 [  996  3325]]",0.5021896811390303,-0.6156156156156158,0.8267896731745691,spectral,200.0,0.05
53,,,,UMAP,"[[16548  7097]
 [  875  3446]]",0.37092198455982367,-0.4834834834834836,0.7149395694772224,spectral,200.0,0.5
54,precomputed,15.0,100.0,t-SNE,"[[19843  3665]
 [ 1127  3331]]",0.4997531323883162,-0.5435435435435436,0.8286490738754202,,,
55,precomputed,15.0,200.0,t-SNE,"[[20377  3131]
 [ 1085  3373]]",0.5401809248782709,-0.5195195195195197,0.8492455124079239,,,
56,precomputed,15.0,500.0,t-SNE,"[[20793  2715]
 [ 1152  3306]]",0.557591814150669,-0.48948948948948967,0.8617249517270972,,,
57,precomputed,15.0,1000.0,t-SNE,"[[21829  1679]
 [ 2504  1954]]",0.3994698355332413,-0.3513513513513513,0.8504255166988486,,,
58,precomputed,30.0,100.0,t-SNE,"[[16499  7009]
 [  647  3811]]",0.4184223228982499,-0.4414414414414414,0.726239004505471,,,
59,precomputed,30.0,200.0,t-SNE,"[[16181  7327]
 [  683  3775]]",0.40035104662815046,-0.4654654654654653,0.7135807766573696,,,
60,precomputed,30.0,500.0,t-SNE,"[[15501  8007]
 [  658  3800]]",0.37931058358739644,-0.41141141141141135,0.6901594793678038,,,
61,precomputed,30.0,1000.0,t-SNE,"[[17906  5602]
 [ 1077  3381]]",0.4077368320107708,-0.41141141141141135,0.761174283057999,,,
62,precomputed,100.0,100.0,t-SNE,"[[17248  6260]
 [  726  3732]]",0.43606841040033456,-0.4714714714714714,0.7501966673818208,,,
63,precomputed,100.0,200.0,t-SNE,"[[17125  6383]
 [  689  3769]]",0.4368919743433435,-0.4714714714714714,0.7471215046842594,,,
64,precomputed,100.0,500.0,t-SNE,"[[17262  6246]
 [  704  3754]]",0.4402149072374069,-0.4774774774774775,0.7514839447901023,,,
65,precomputed,100.0,1000.0,t-SNE,"[[16141  7367]
 [  778  3680]]",0.38346240184343944,-0.4354354354354353,0.7087534863763141,,,
66,,,,UMAP,"[[19196  4312]
 [  914  3544]]",0.4980832526871388,-0.5195195195195197,0.8131302295644711,spectral,25.0,0.05
67,,,,UMAP,"[[17977  5531]
 [  696  3762]]",0.47295620769538876,-0.3933933933933935,0.7773367660730888,spectral,25.0,0.5
68,,,,UMAP,"[[18720  4788]
 [  665  3793]]",0.5136698531146492,-0.48948948948948967,0.8050132303511407,spectral,100.0,0.05
69,,,,UMAP,"[[19276  4232]
 [  740  3718]]",0.53072770914232,-0.45945945945945965,0.8222126868340127,spectral,100.0,0.5
70,,,,UMAP,"[[17532  5976]
 [  551  3907]]",0.47645480254470085,-0.4414414414414414,0.7666094543374097,spectral,200.0,0.05
71,,,,UMAP,"[[17189  6319]
 [  555  3903]]",0.4611689159726603,-0.41141141141141135,0.7542015304298076,spectral,200.0,0.5
