strain,tsne_x,tsne_y,t-sne_label
A/Michigan/418/2018,4.9605455,-10.743693,5
A/Tomsk/243/2018,5.4658003,-10.033919,5
A/Tomsk/244/2018,5.4658003,-10.033919,5
A/Tomsk/245/2018,5.4658,-10.033919,5
A/Guam/7834/2019,4.9398503,-10.304077,5
A/Belgium/8725/2019,-3.9306452,-4.3250194,5
A/Italy/8601/2019,-3.613763,-4.44843,5
A/England/9617/2019,-3.9298966,-4.322656,5
A/Italy/8444/2019,-3.6152623,-4.877999,5
A/Italy/9366/2019,-4.0408278,-4.753024,5
A/England/8887/2019,-2.5484865,-3.4900756,5
A/Spain/8527/2019,-2.265811,-3.6967793,5
A/Germany/9490/2019,-2.0640824,-4.916014,5
A/SouthKorea/9579/2019,-3.3077865,-2.7742054,5
A/SouthKorea/9645/2019,-3.3012483,-2.771097,5
A/Germany/8752/2019,-2.6215553,-3.6502647,5
A/Spain/9001/2019,-2.3341746,-4.142228,5
A/Germany/9676/2019,1.8993211,-2.99779,5
A/Italy/8442/2019,1.8900658,-3.0007312,5
A/Japan/7848/2019,1.8993205,-2.9978218,5
A/Japan/NHRC-OID_FDX70566/2019,1.8993205,-2.9978218,5
A/Italy/8941/2019,-3.5772367,-4.8809376,5
A/Japan/8261/2019,1.6281407,-2.223273,5
A/Spain/9580/2019,-4.669937,-3.9882452,5
A/Italy/9062/2019,1.9157202,-7.2077994,5
A/Japan/9505/2019,1.4145985,-7.223958,5
A/Japan/NHRC-OID_FDX70521/2018,1.347963,-7.9774504,5
A/England/8741/2019,5.280517,4.837463,5
A/England/9338/2019,4.9451585,4.1407084,5
A/Japan/7846/2019,5.151323,3.7555413,5
A/Germany/8917/2019,4.78432,3.8597667,5
A/Guam/8597/2019,5.5371895,3.910807,5
A/Japan/8603/2019,4.2429924,3.502401,5
A/Japan/8769/2019,5.5350595,3.936448,5
A/Japan/NHRC-OID_FDX70587/2019,5.0965257,3.274388,5
A/Japan/NHRC-OID_FDX70590/2019,5.1495147,3.7544718,5
A/SouthKorea/8825/2019,6.3524785,2.9235194,5
A/SouthKorea/8832/2019,6.1083508,3.090855,5
A/SouthKorea/8824/2019,6.3524785,2.9235198,5
A/Texas/9844/2019,5.368729,1.4365548,5
A/SouthKorea/8822/2019,4.2205133,5.7397494,5
A/SouthKorea/8823/2019,4.235102,5.588333,5
A/SouthKorea/9704/2019,6.934478,2.5565054,5
A/Japan/NHRC-OID_FDX70591/2019,4.268697,2.4774303,5
A/SouthKorea/9578/2019,6.988508,4.103341,5
A/Japan/NHRC-OID_FDX70574/2019,6.289027,6.783923,5
A/Japan/NHRC-OID_FDX70593/2019,6.289132,6.784042,5
A/Florida/9851/2019,9.842776,6.256379,5
A/Guam/9841/2019,11.277818,8.351687,5
A/Washington/9847/2019,8.295486,7.1255646,5
A/Yokosuka/NHRC_OID_FDX70622/2019,3.5461783,-2.979343,5
A/Japan/NHRC-OID_FDX70571/2019,2.714423,-3.8096685,5
A/Germany/8912/2019,3.1610067,-6.4313383,5
A/Germany/8926/2019,3.165163,-6.428001,5
A/Homosapien/China/LS329/2019,-0.29510123,-2.0426748,5
A/Homosapien/China/LS318/2019,1.9120489,-5.736812,5
A/Japan/NHRC-OID_FDX70487/2018,0.10696235,-7.2864375,5
A/England/7821/2019,-0.0035809139,-7.9562817,5
A/Homosapien/China/LS323/2019,0.84493566,-1.094365,5
A/Homosapien/China/LS338/2019,-0.3123449,-4.1462617,5
A/Homosapien/China/LS339/2019,-0.77888805,-6.7129583,5
A/Homosapien/China/LS319/2019,-1.9103163,-9.290278,5
A/Homosapien/China/LS328/2019,-1.915483,-9.293268,5
A/Colorado/01/2020,-4.879749,-31.44131,4
A/Iowa/40/2019,-5.500887,-31.282211,4
A/Nevada/33/2019,-5.630037,-31.648159,4
A/Montana/45/2019,-5.095459,-30.871376,4
A/NorthCarolina/31/2019,-5.1100025,-30.572725,4
A/Utah/53/2019,-5.110123,-30.5718,4
A/Massachusetts/01/2020,-4.4061456,-30.236233,4
A/Texas/357/2019,-4.4061284,-30.236265,4
A/Delaware/41/2019,-3.5046446,-30.912683,4
A/Maryland/40/2019,-3.8491259,-31.677406,4
A/Pennsylvania/1019/2019,-4.5516205,-31.123934,4
A/Maryland/38/2019,-5.856614,-32.259285,4
A/Illinois/40/2019,-3.5397713,-29.869448,4
A/Utah/58/2019,-4.7970123,-29.107748,4
A/Washington/652/2019,-4.3024387,-32.40464,4
A/Michigan/437/2019,-5.228159,-32.97763,4
A/NorthDakota/38/2018,-4.8443866,-25.163599,4
A/SouthAustralia/184/2018,-4.566482,-25.409426,4
A/SouthAustralia/151/2018,-4.809284,-27.258926,4
A/SouthAustralia/26/2018,-4.880442,-27.273026,4
A/NewYork/57/2019,-7.1635985,-32.24834,4
A/India/Ker-1851650/2018,-3.8273137,-24.265316,4
A/India/Pun-1847908/2018,-4.158375,-24.192759,4
A/India/Pun-1851148/2018,-4.165709,-23.974794,4
A/India/Pun-1847054/2018,-3.8605144,-24.416016,4
A/India/Pun-1847933/2018,-4.1765146,-23.694548,4
A/India/Pun-1920970/2019,-5.406447,-29.868711,4
A/India/Pun-1922253/2019,-5.193313,-30.674536,4
A/India/Pun-1921693/2019,-5.9286294,-30.574825,4
A/India/Pun-1922218/2019,-5.928629,-30.574825,4
A/India/Pun-1924667/2019,-6.481093,-30.683296,4
A/India/Pun-1922260/2019,-6.6729445,-31.12436,4
A/India/Pun-1921994/2019,-6.293234,-29.767826,4
A/India/Pun-1922052/2019,-5.930727,-29.312563,4
A/India/Pun-1922016/2019,-7.1034865,-29.40869,4
A/India/Pun-1922295/2019,-7.4188495,-29.757442,4
A/India/Pun-1923665/2019,-7.900407,-30.141773,4
A/India/Pun-1923690/2019,-8.037863,-29.736654,4
A/India/Pun-1923708/2019,-7.825517,-30.946619,4
A/India/Pun-1922030/2019,-5.5329247,-25.26171,4
A/India/Pun-1922292/2019,-5.6863966,-25.287907,4
A/Italy/8453/2019,-5.5213575,-24.404749,4
A/Italy/9061/2019,-5.0563054,-27.24714,4
A/Japan/7503/2018,-5.0624146,-27.245123,4
A/SouthKorea/8203/2019,-4.855098,-25.15952,4
A/Texas/7538/2018,-4.8441563,-25.163605,4
A/Italy/9363/2019,-6.1575,-27.160324,4
A/Alaska/7957/2019,34.482574,-11.03843,2
A/Germany/9056/2019,34.68026,-10.864688,2
A/Bahrain/NHRC-OID_ESX0121A/2018,39.81789,-10.908612,2
A/Bahrain/NHRC-OID_ESX0123/2018,39.769714,-10.869618,2
A/Germany/9360/2019,39.921795,-11.007154,2
A/Germany/8914/2019,40.72302,-11.481597,2
A/Homosapien/China/LS205/2018,41.05265,-11.647712,2
A/Belgium/8876/2019,40.130516,-6.5290318,2
A/England/8892/2019,40.367725,-7.269718,2
A/England/8893/2019,40.42388,-7.26603,2
A/Italy/7842/2019,40.473644,-7.2724013,2
A/England/7823/2019,41.94439,-7.3041096,2
A/England/7964/2019,42.090015,-7.2687287,2
A/England/7963/2019,42.19099,-7.2814918,2
A/Belgium/8877/2019,33.328697,-6.53184,2
A/England/8122/2019,33.359077,-6.502209,2
A/Germany/9482/2019,33.364174,-6.5463953,2
A/Italy/8938/2019,32.968784,-6.622125,2
A/England/8581/2019,35.220436,-4.3743424,2
A/Germany/9483/2019,35.462093,-4.539184,2
A/Germany/7830/2018,33.6957,-4.292863,2
A/Turkey/8543/2019,34.07188,-4.9284687,2
A/Iran/ClinicalSample/2019,34.027348,-4.875602,2
A/Germany/9669/2019,33.32748,-3.1181636,2
A/Italy/9065/2019,32.13701,-10.782817,2
A/Guam/7502/2018,30.325937,-19.274454,1
A/India/Ker-19298/2018,40.802197,-10.515182,2
A/India/Ker-19299/2018,37.94621,-9.384189,2
A/India/Pun-1845890/2018,37.64672,-9.578782,2
A/India/Pun-1846768/2018,37.78117,-10.506271,2
A/India/Pun-19533/2019,38.396023,-9.523338,2
A/India/Pun-1847030/2018,37.905376,-13.319141,2
A/India/Pun-1851127/2018,37.980816,-12.824442,2
A/India/Pun-1847593/2018,37.036316,-11.195822,2
A/India/Pun-19615/2019,40.092274,-12.152316,2
A/India/Pun-1847801/2018,38.06925,-11.042621,2
A/Germany/8918/2019,36.160664,-10.614199,2
A/Homosapien/China/LS340/2019,39.780678,-2.2807493,2
A/Homosapien/China/LS341/2019,39.741425,-2.290419,2
A/Arizona/39/2019,33.143906,-4.292919,2
A/Minnesota/44/2019,32.75665,-3.981463,2
A/Makhachkala/84/2019,35.438316,-3.7168517,2
A/Vladimir/87/2019,35.43777,-3.7161837,2
A/SouthAustralia/153/2018,33.96683,-5.091828,2
A/Wisconsin/105/2018,33.76542,-4.03271,2
A/Brisbane/64/2018,37.169052,-7.8711386,2
A/Florida/64/2019,34.9318,-10.596344,2
A/NewJersey/48/2018,34.499645,-11.085987,2
A/Florida/87/2018,38.21465,-14.168281,2
A/SouthAustralia/121/2018,38.213684,-14.167016,2
A/Victoria/733/2018,38.0291,-13.896203,2
A/SouthDakota/44/2018,37.843346,-13.655767,2
A/Victoria/2093/2018,37.39732,-14.004928,2
A/Louisiana/27/2018,36.319096,-9.348626,2
A/Michigan/397/2018,36.238754,-9.187926,2
A/Michigan/401/2018,36.959084,-9.840996,2
A/Moscow/1/2019,36.08525,-9.3626795,2
A/Minnesota/42/2018,36.557102,-8.96465,2
A/Perth/90/2018,35.907497,-8.216609,2
