Map from character to field name
A:	Australia
B:	Bahrain
C:	Belgium
D:	Brazil
E:	Canada
F:	Chad
G:	Chile
H:	China
I:	Germany
J:	Guam
K:	India
L:	Iran
M:	Italy
N:	Japan
O:	Russia
P:	South Korea
Q:	Spain
R:	Turkey
S:	USA
T:	United Kingdom
U:	?


Substitution rate (mu): 89.487026

Equilibrium frequencies (pi_i):
  A: 0.0124
  B: 0.0727
  C: 0.0598
  D: 0.0691
  E: 0.0532
  F: 0.069
  G: 0.0541
  H: 0.0495
  I: 0.0335
  J: 0.0433
  K: 0.0309
  L: 0.0713
  M: 0.0303
  N: 0.0342
  O: 0.0497
  P: 0.044
  Q: 0.0686
  R: 0.0713
  S: 0.0419
  T: 0.0412

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T
  A	0	0.924	0.8803	1.2781	1.5416	1.2254	1.2017	1.8823	2.284	0.9766	2.8736	1.0628	2.37	1.4205	1.3644	0.9574	0.8616	1.0628	22.431	1.2012
  B	0.924	0	0.8648	0.8643	0.8642	0.8647	0.8643	0.8717	1.1903	0.8642	0.8887	0.8649	0.8637	0.8641	0.864	0.8643	0.8643	0.8649	0.8892	0.8648
  C	0.8803	0.8648	0	0.8645	0.8645	0.8651	0.8646	0.8647	1.0233	0.8646	0.8638	0.8652	1.3362	0.8648	0.865	0.8648	0.874	0.8652	1.7681	1.1581
  D	1.2781	0.8643	0.8645	0	0.8642	0.8648	0.8642	0.864	0.8642	0.8642	0.863	0.8648	0.8636	0.8641	0.8638	0.8642	0.8642	0.8648	0.8639	0.8646
  E	1.5416	0.8642	0.8645	0.8642	0	0.865	0.8643	0.8642	0.8646	0.8643	0.8636	0.8648	0.8641	0.8644	0.864	0.8644	0.8642	0.8648	1.9029	0.8648
  F	1.2254	0.8647	0.8651	0.8648	0.865	0	0.8649	0.8654	0.8669	0.865	0.8654	0.8652	0.8665	0.8658	0.8647	0.8651	0.8648	0.8652	0.9034	0.8658
  G	1.2017	0.8643	0.8646	0.8642	0.8643	0.8649	0	0.8644	0.8653	0.8644	0.9996	0.8648	0.8646	0.8646	0.8641	0.8646	0.8643	0.8648	1.721	0.8649
  H	1.8823	0.8717	0.8647	0.864	0.8642	0.8654	0.8644	0	1.2612	0.8644	0.8879	0.8649	0.8649	0.8649	0.8643	0.8646	0.8641	0.8649	2.4983	0.8655
  I	2.284	1.1903	1.0233	0.8642	0.8646	0.8669	0.8653	1.2612	0	0.8666	1.098	0.8914	1.045	0.8827	1.7176	0.9267	0.8883	0.8914	6.7437	1.3032
  J	0.9766	0.8642	0.8646	0.8642	0.8643	0.865	0.8644	0.8644	0.8666	0	0.864	0.8647	0.8647	0.8967	0.8642	0.8646	0.8643	0.8647	3.3382	0.865
