n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
2	precomputed	2	1	12883823	mds	0	2.0	0.5967913244446837	366929	12013	43814	36605	367690	7705	44712	39254	0.6223609634361607
2	precomputed	2	1	12883823	mds	1	2.0	0.6223609634361607	367690	7705	44712	39254	366929	12013	43814	36605	0.5967913244446837
2	precomputed	2	1	12883823	mds	2	2.0	0.5773544493403714	368097	11544	41155	38565	368383	9722	45511	35745	0.6269409392203085
2	precomputed	2	1	12883823	mds	3	2.0	0.6269409392203085	368383	9722	45511	35745	368097	11544	41155	38565	0.5773544493403714
2	precomputed	2	1	12883823	mds	4	2.0	0.5641991758759609	367626	13817	40708	37210	368774	8755	44452	37380	0.6217663425454918
2	precomputed	2	1	12883823	mds	5	2.0	0.6217663425454918	368774	8755	44452	37380	367626	13817	40708	37210	0.5641991758759609
