strain	date	accession	country	region
A/Alabama/01/2017	2017-01-04	CY216617	USA	N
A/Alabama/02/2015	2015-01-26	KT836052	USA	N
A/Alabama/02/2016	2016-01-27	KX412662	USA	N
A/Alabama/02/2017	2017-01-05	CY216609	USA	N
A/Alabama/03/2017	2017-01-19	CY216625	USA	N
A/Alabama/04/2015	2015-01-22	KT835907	USA	N
A/Alabama/04/2017	2017-01-23	CY216633	USA	N
A/Alabama/04/2019	2019-01-03	MK744672	USA	N
A/Alabama/05/2015	2015-03-11	KY089323	USA	N
A/Alabama/05/2019	2019-01-03	MK744680	USA	N
A/Alabama/06/2015	2015-03-11	KY089829	USA	N
A/Alabama/06/2016	2016-01-20	KX412838	USA	N
A/Alabama/06/2017	2017-02-07	CY220551	USA	N
A/Alabama/07/2015	2015-02-11	KT841992	USA	N
A/Alabama/07/2019	2019-01-17	MK676811	USA	N
A/Alabama/08/2015	2015-02-14	KT842463	USA	N
A/Alabama/08/2017	2017-02-20	CY223045	USA	N
A/Alabama/08/2019	2019-01-26	MK676819	USA	N
A/Alabama/09/2015	2015-02-14	KT842000	USA	N
A/Alabama/09/2017	2017-02-24	CY223053	USA	N
A/Alabama/09/2018	2018-01-16	MH126307	USA	N
A/Alabama/10/2017	2017-03-06	CY230714	USA	N
A/Alabama/10/2019	2019-02-01	MK772119	USA	N
A/Alabama/13/2016	2016-10-19	KY289350	USA	N
A/Alabama/13/2018	2018-02-01	MH126377	USA	N
A/Alabama/14/2016	2016-10-19	KY289394	USA	N
A/Alabama/14/2017	2017-03-15	CY232420	USA	N
A/Alabama/14/2018	2018-02-03	MH126385	USA	N
A/Alabama/14/2019	2019-02-21	MK856521	USA	N
A/Alabama/15/2016	2016-11-16	CY210695	USA	N
A/Alabama/15/2017	2017-03-20	CY230690	USA	N
A/Alabama/16/2016	2016-11-27	CY210687	USA	N
A/Alabama/16/2017	2017-03-29	CY230682	USA	N
A/Alabama/16/2019	2019-03-05	MK856537	USA	N
A/Alabama/17/2017	2017-03-30	CY230674	USA	N
A/Alabama/18/2017	2017-05-04	CY234754	USA	N
A/Alabama/18/2018	2018-02-10	MH585852	USA	N
A/Alabama/18/2019	2019-03-01	MN000581	USA	N
A/Alabama/19/2017	2017-05-04	CY234762	USA	N
A/Alabama/20/2017	2017-05-04	CY234770	USA	N
A/Alabama/20/2019	2019-03-21	MN000589	USA	N
A/Alabama/21/2017	2017-05-09	CY234746	USA	N
A/Alabama/21/2019	2019-04-04	MN221581	USA	N
A/Alabama/22/2019	2019-04-04	MN221589	USA	N
A/Alabama/23/2019	2019-09-06	MN638427	USA	N
A/Alabama/26/2018	2018-02-09	MH601182	USA	N
A/Alabama/29/2017	2017-12-01	CY264203	USA	N
A/Alabama/30/2017	2017-12-03	CY264187	USA	N
A/Alabama/30/2018	2018-02-13	MH601210	USA	N
A/Alabama/4228/2015	2015-01-05	CY193481	USA	N
A/Alabama/4387/2015	2015-01-09	CY193640	USA	N
A/Alabama/44/2018	2018-12-11	MK623052	USA	N
A/Alabama/4501/2015	2015-01-20	CY193754	USA	N
A/Alabama/4609/2015	2015-01-22	CY193862	USA	N
A/Alabama/5923/2017	2017-02-09	CY244035	USA	N
A/Alabama/6084/2017	2017-02-27	CY244196	USA	N
A/Alabama/6085/2017	2017-02-27	CY244197	USA	N
A/Alabama/6086/2017	2017-03-03	CY244198	USA	N
A/Alabama/6754/2018	2018-01-25	MH885168	USA	N
A/Alaska/01/2019	2019-01-07	MK744720	USA	N
A/Alaska/03/2015	2015-02-13	KY090445	USA	N
A/Alaska/04/2016	2016-01-20	KY044323	USA	N
A/Alaska/04/2017	2017-01-24	CY220239	USA	N
A/Alaska/04/2018	2018-01-22	MH126411	USA	N
A/Alaska/04/2019	2019-01-12	MK676827	USA	N
A/Alaska/05/2016	2016-01-31	KX414920	USA	N
A/Alaska/05/2017	2017-02-09	CY222053	USA	N
A/Alaska/06/2017	2017-02-09	CY222061	USA	N
A/Alaska/06/2018	2018-02-06	MH585868	USA	N
A/Alaska/08/2017	2017-02-13	CY239713	USA	N
A/Alaska/08/2018	2018-02-10	MH585876	USA	N
A/Alaska/09/2015	2015-04-18	KT843470	USA	N
A/Alaska/09/2017	2017-02-21	CY223173	USA	N
A/Alaska/09/2019	2019-01-24	MK744192	USA	N
A/Alaska/10/2015	2015-04-12	KT843433	USA	N
A/Alaska/104/2015	2015-07-04	KX003659	USA	N
A/Alaska/109/2015	2015-07-07	KX003693	USA	N
A/Alaska/11/2018	2018-02-20	MH898000	USA	N
A/Alaska/11/2019	2019-01-25	MK744164	USA	N
