perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
30.0	500.0	precomputed	12883823	True	t-sne	0	0.0	0.25652837222774055	44199	5404	2674	4339	47057	3379	4556	1624	0.6020456137374182
30.0	500.0	precomputed	12883823	True	t-sne	1	0.0	0.6020456137374182	47057	3379	4556	1624	44199	5404	2674	4339	0.25652837222774055
30.0	500.0	precomputed	12883823	True	t-sne	2	0.0	0.47275011571280007	46336	3640	3775	2865	43977	5972	2748	3919	0.26128890254580495
30.0	500.0	precomputed	12883823	True	t-sne	3	0.0	0.26128890254580495	43977	5972	2748	3919	46336	3640	3775	2865	0.47275011571280007
30.0	500.0	precomputed	12883823	True	t-sne	4	0.0	0.5987054454700724	47031	3259	4557	1769	46251	4297	3973	2095	0.4990187417724613
30.0	500.0	precomputed	12883823	True	t-sne	5	0.0	0.4990187417724613	46251	4297	3973	2095	47031	3259	4557	1769	0.5987054454700724
