n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
25	0.1	spectral	12883823	umap	0	4.0	0.31395284417695357	28813	1176	6902	19725	36988	2062	5873	11693	0.37516826035007034
25	0.1	spectral	12883823	umap	1	4.0	0.37516826035007034	36988	2062	5873	11693	28813	1176	6902	19725	0.31395284417695357
25	0.1	spectral	12883823	umap	2	4.0	0.3645339978674586	34933	1424	5991	14268	31400	1456	7264	16496	0.3573911276997606
25	0.1	spectral	12883823	umap	3	4.0	0.3573911276997606	31400	1456	7264	16496	34933	1424	5991	14268	0.3645339978674586
25	0.1	spectral	12883823	umap	4	4.0	0.4002603261940457	38531	2088	5728	10269	31332	1196	7074	17014	0.3596403153044137
25	0.1	spectral	12883823	umap	5	4.0	0.3596403153044137	31332	1196	7074	17014	38531	2088	5728	10269	0.4002603261940457
