perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	200.0	precomputed	12883823	True	t-sne	0	6.0	0.48817545978057364	33535	42	8036	15003	28070	991	6944	20611	0.3137388249661689
15.0	200.0	precomputed	12883823	True	t-sne	1	6.0	0.3137388249661689	28070	991	6944	20611	33535	42	8036	15003	0.48817545978057364
15.0	200.0	precomputed	12883823	True	t-sne	2	6.0	0.67795622901324	44917	919	6496	4284	35641	1040	7680	12255	0.47224437927678986
15.0	200.0	precomputed	12883823	True	t-sne	3	6.0	0.47224437927678986	35641	1040	7680	12255	44917	919	6496	4284	0.67795622901324
15.0	200.0	precomputed	12883823	True	t-sne	4	6.0	0.3805000122174188	32915	1048	6768	15885	34606	727	7543	13740	0.4578363527414029
15.0	200.0	precomputed	12883823	True	t-sne	5	6.0	0.4578363527414029	34606	727	7543	13740	32915	1048	6768	15885	0.3805000122174188
