metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
precomputed	12883823	True	t-sne	0	2.0	0.6118245452140937	294579	21996	18191	1844	294054	15763	24877	2737	0.7158740926137218
precomputed	12883823	True	t-sne	1	2.0	0.7158740926137218	294054	15763	24877	2737	294579	21996	18191	1844	0.6118245452140937
precomputed	12883823	True	t-sne	2	2.0	0.6377625281183925	296240	21206	18247	917	292509	22478	19091	3353	0.5908002681645281
precomputed	12883823	True	t-sne	3	2.0	0.5908002681645281	292509	22478	19091	3353	296240	21206	18247	917	0.6377625281183925
precomputed	12883823	True	t-sne	4	2.0	0.5998213543611457	293442	20080	19038	4050	294533	21715	19917	1266	0.6428330913254222
precomputed	12883823	True	t-sne	5	2.0	0.6428330913254222	294533	21715	19917	1266	293442	20080	19038	4050	0.5998213543611457
