n_components	svd_solver	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
10	full	12883823	pca	0	8.0	0.06839767710947385	3918	140	212	3111	3438	193	254	3618	0.026276626128111977
10	full	12883823	pca	1	8.0	0.026276626128111977	3438	193	254	3618	3918	140	212	3111	0.06839767710947385
10	full	12883823	pca	2	8.0	0.025177981309156907	3388	169	225	3599	3762	152	255	3334	0.07104896308010672
10	full	12883823	pca	3	8.0	0.07104896308010672	3762	152	255	3334	3388	169	225	3599	0.025177981309156907
10	full	12883823	pca	4	8.0	0.01761110769093498	3574	167	190	3450	3676	161	268	3398	0.06705173750840912
10	full	12883823	pca	5	8.0	0.06705173750840912	3676	161	268	3398	3574	167	190	3450	0.01761110769093498
