perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	200.0	precomputed	12883823	True	t-sne	0	4.0	0.6466111210045541	61957	2372	9381	5691	63442	1664	8971	5723	0.6671092611477174
15.0	200.0	precomputed	12883823	True	t-sne	1	4.0	0.6671092611477174	63442	1664	8971	5723	61957	2372	9381	5691	0.6466111210045541
15.0	200.0	precomputed	12883823	True	t-sne	2	4.0	0.7364303487436219	64943	1199	9000	4259	61925	2449	9812	5614	0.6548796192494813
15.0	200.0	precomputed	12883823	True	t-sne	3	4.0	0.6548796192494813	61925	2449	9812	5614	64943	1199	9000	4259	0.7364303487436219
15.0	200.0	precomputed	12883823	True	t-sne	4	4.0	0.7375548344248617	64322	1122	9414	4543	53932	2550	9301	14017	0.4523792288754463
15.0	200.0	precomputed	12883823	True	t-sne	5	4.0	0.4523792288754463	53932	2550	9301	14017	64322	1122	9414	4543	0.7375548344248617
