dissimilarity	n_components	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
precomputed	2	2	1	12883823	mds	0	14.0	0.12895423675401924	14722	477	10398	61974	18667	452	9658	58794	0.15183159608024477
precomputed	2	2	1	12883823	mds	1	14.0	0.15183159608024477	18667	452	9658	58794	14722	477	10398	61974	0.12895423675401924
precomputed	2	2	1	12883823	mds	2	14.0	0.16963964801049863	20071	420	10121	56959	17760	375	10044	59392	0.15516416378585315
precomputed	2	2	1	12883823	mds	3	14.0	0.15516416378585315	17760	375	10044	59392	20071	420	10121	56959	0.16963964801049863
precomputed	2	2	1	12883823	mds	4	14.0	0.14559597864855783	18130	575	10131	58735	19326	432	9811	58002	0.15973104012891987
precomputed	2	2	1	12883823	mds	5	14.0	0.15973104012891987	19326	432	9811	58002	18130	575	10131	58735	0.14559597864855783
