n_components	svd_solver	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
10	full	12883823	pca	0	14.0	0.26911950845450977	117208	0	40187	179215	75896	0	40640	220895	0.19934071952920684
10	full	12883823	pca	1	14.0	0.19934071952920684	75896	0	40640	220895	117208	0	40187	179215	0.26911950845450977
10	full	12883823	pca	2	14.0	0.20345552163209446	80004	0	39453	217153	70325	0	41569	225537	0.1923327506671365
10	full	12883823	pca	3	14.0	0.1923327506671365	70325	0	41569	225537	80004	0	39453	217153	0.20345552163209446
10	full	12883823	pca	4	14.0	0.19849627557336955	77608	0	39118	219884	72821	0	41632	222978	0.19680697203233496
10	full	12883823	pca	5	14.0	0.19680697203233496	72821	0	41632	222978	77608	0	39118	219884	0.19849627557336955
