perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
15.0	200.0	precomputed	12883823	True	t-sne	0	12.0	0.5859181692298042	353626	7943	47884	49908	377887	9645	42772	29057	0.651805465907533
15.0	200.0	precomputed	12883823	True	t-sne	1	12.0	0.651805465907533	377887	9645	42772	29057	353626	7943	47884	49908	0.5859181692298042
15.0	200.0	precomputed	12883823	True	t-sne	2	12.0	0.668874363645881	395697	18271	34428	10965	377556	9953	45280	26572	0.675145895916053
15.0	200.0	precomputed	12883823	True	t-sne	3	12.0	0.675145895916053	377556	9953	45280	26572	395697	18271	34428	10965	0.668874363645881
15.0	200.0	precomputed	12883823	True	t-sne	4	12.0	0.6960568092268362	375207	6571	47954	29629	380846	7746	45461	25308	0.7021740419650554
15.0	200.0	precomputed	12883823	True	t-sne	5	12.0	0.7021740419650554	380846	7746	45461	25308	375207	6571	47954	29629	0.6960568092268362
