perplexity	learning_rate	metric	random_state	square_distances	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100.0	200.0	precomputed	12883823	True	t-sne	0	2.0	0.2772323143324314	17886	0	8078	30652	18433	129	7806	30248	0.2679901739451385
100.0	200.0	precomputed	12883823	True	t-sne	1	2.0	0.2679901739451385	18433	129	7806	30248	17886	0	8078	30652	0.2772323143324314
100.0	200.0	precomputed	12883823	True	t-sne	2	2.0	0.25002107832040793	16618	2	7413	32583	17680	0	8720	30216	0.2875239880551231
100.0	200.0	precomputed	12883823	True	t-sne	3	2.0	0.2875239880551231	17680	0	8720	30216	16618	2	7413	32583	0.25002107832040793
100.0	200.0	precomputed	12883823	True	t-sne	4	2.0	0.26249093531659573	17048	2	7814	31752	17262	0	8270	31084	0.27391990754749906
100.0	200.0	precomputed	12883823	True	t-sne	5	2.0	0.27391990754749906	17262	0	8270	31084	17048	2	7814	31752	0.26249093531659573
