n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100	0.05	spectral	12883823	umap	0	10.0	0.49002491918072677	293978	509	55318	109556	313101	83	52334	93843	0.5241060629075011
100	0.05	spectral	12883823	umap	1	10.0	0.5241060629075011	313101	83	52334	93843	293978	509	55318	109556	0.49002491918072677
100	0.05	spectral	12883823	umap	2	10.0	0.5100911081923706	308554	402	52297	98108	310063	292	54941	94065	0.529365529333847
100	0.05	spectral	12883823	umap	3	10.0	0.529365529333847	310063	292	54941	94065	308554	402	52297	98108	0.5100911081923706
100	0.05	spectral	12883823	umap	4	10.0	0.23336774002167876	132264	0	54525	272572	311482	292	52915	94672	0.521805891430586
100	0.05	spectral	12883823	umap	5	10.0	0.521805891430586	311482	292	52915	94672	132264	0	54525	272572	0.23336774002167876
