n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100	0.25	spectral	12883823	umap	0	0.0	0.40146652019593454	394675	38777	17050	8859	391164	37430	14987	15780	0.3143287392436223
100	0.25	spectral	12883823	umap	1	0.0	0.3143287392436223	391164	37430	14987	15780	394675	38777	17050	8859	0.40146652019593454
100	0.25	spectral	12883823	umap	2	0.0	0.47331589999735973	396137	31485	21214	10525	392494	37580	17653	11634	0.38714764804254714
100	0.25	spectral	12883823	umap	3	0.0	0.38714764804254714	392494	37580	17653	11634	396137	31485	21214	10525	0.47331589999735973
100	0.25	spectral	12883823	umap	4	0.0	0.464829037075075	394521	33328	21197	10315	393699	34902	18305	12455	0.40120339989426024
100	0.25	spectral	12883823	umap	5	0.0	0.40120339989426024	393699	34902	18305	12455	394521	33328	21197	10315	0.464829037075075
