n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100	0.05	spectral	12883823	umap	0	0.0	0.32538902954571153	399975	45975	9852	3559	400059	46132	6285	6885	0.19621144384768424
100	0.05	spectral	12883823	umap	1	0.0	0.19621144384768424	400059	46132	6285	6885	399975	45975	9852	3559	0.32538902954571153
100	0.05	spectral	12883823	umap	2	0.0	0.40434011196081493	403760	40340	12359	2902	398665	44015	11218	5463	0.32961523667312886
100	0.05	spectral	12883823	umap	3	0.0	0.32961523667312886	398665	44015	11218	5463	403760	40340	12359	2902	0.40434011196081493
100	0.05	spectral	12883823	umap	4	0.0	0.2907093077635711	396869	43759	10766	7967	400462	39944	13263	5692	0.37851613591546535
100	0.05	spectral	12883823	umap	5	0.0	0.37851613591546535	400462	39944	13263	5692	396869	43759	10766	7967	0.2907093077635711
