n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
100	0.1	spectral	12883823	umap	0	0.0	0.39564857217532484	396140	39992	15835	7394	400150	45006	7411	6794	0.22901250082058916
100	0.1	spectral	12883823	umap	1	0.0	0.22901250082058916	400150	45006	7411	6794	396140	39992	15835	7394	0.39564857217532484
100	0.1	spectral	12883823	umap	2	0.0	0.38160471039753674	402200	40232	12467	4462	397924	45584	9649	6204	0.28391608103092114
100	0.1	spectral	12883823	umap	3	0.0	0.28391608103092114	397924	45584	9649	6204	402200	40232	12467	4462	0.38160471039753674
100	0.1	spectral	12883823	umap	4	0.0	0.3842692407162592	399668	41044	13481	5168	399507	39134	14073	6647	0.3826121626709584
100	0.1	spectral	12883823	umap	5	0.0	0.3826121626709584	399507	39134	14073	6647	399668	41044	13481	5168	0.3842692407162592
