strain	date	accession	country	region	segment_name
A/Alabama/01/2017	2017-01-04	CY216617	USA	N	4
A/Alabama/02/2016	2016-01-27	KX412662	USA	N	4
A/Alabama/02/2017	2017-01-05	CY216609	USA	N	4
A/Alabama/03/2017	2017-01-19	CY216625	USA	N	4
A/Alabama/04/2017	2017-01-23	CY216633	USA	N	4
A/Alabama/06/2016	2016-01-20	KX412838	USA	N	4
A/Alabama/06/2017	2017-02-07	CY220551	USA	N	4
A/Alabama/08/2017	2017-02-20	CY223045	USA	N	4
A/Alabama/09/2017	2017-02-24	CY223053	USA	N	4
A/Alabama/10/2017	2017-03-06	CY230714	USA	N	4
A/Alabama/13/2016	2016-10-19	KY289350	USA	N	4
A/Alabama/14/2016	2016-10-19	KY289394	USA	N	4
A/Alabama/14/2017	2017-03-15	CY232420	USA	N	4
A/Alabama/15/2016	2016-11-16	CY210695	USA	N	4
A/Alabama/15/2017	2017-03-20	CY230690	USA	N	4
A/Alabama/16/2016	2016-11-27	CY210687	USA	N	4
A/Alabama/16/2017	2017-03-29	CY230682	USA	N	4
A/Alabama/17/2017	2017-03-30	CY230674	USA	N	4
A/Alabama/18/2017	2017-05-04	CY234754	USA	N	4
A/Alabama/19/2017	2017-05-04	CY234762	USA	N	4
A/Alabama/20/2017	2017-05-04	CY234770	USA	N	4
A/Alabama/21/2017	2017-05-09	CY234746	USA	N	4
A/Alabama/29/2017	2017-12-01	CY264203	USA	N	4
A/Alabama/30/2017	2017-12-03	CY264187	USA	N	4
A/Alaska/04/2016	2016-01-20	KY044323	USA	N	4
A/Alaska/04/2017	2017-01-24	CY220239	USA	N	4
A/Alaska/05/2016	2016-01-31	KX414920	USA	N	4
A/Alaska/05/2017	2017-02-09	CY222053	USA	N	4
A/Alaska/06/2017	2017-02-09	CY222061	USA	N	4
A/Alaska/08/2017	2017-02-13	CY239713	USA	N	4
A/Alaska/09/2017	2017-02-21	CY223173	USA	N	4
A/Alaska/12/2017	2017-03-30	CY230738	USA	N	4
A/Alaska/13/2017	2017-04-03	CY235496	USA	N	4
A/Alaska/16/2017	2017-04-22	CY235632	USA	N	4
A/Alaska/17/2017	2017-06-23	CY239904	USA	N	4
A/Alaska/19/2017	2017-05-06	CY240087	USA	N	4
A/Alaska/21/2017	2017-06-16	CY240079	USA	N	4
A/Alaska/22/2016	2016-06-06	KX916788	USA	N	4
A/Alaska/23/2016	2016-06-15	KX916780	USA	N	4
A/Alaska/24/2016	2016-09-08	KY003458	USA	N	4
A/Alaska/25/2017	2017-07-21	CY244521	USA	N	4
A/Alaska/26/2016	2016-09-20	CY211514	USA	N	4
A/Alaska/26/2017	2017-06-02	CY243519	USA	N	4
A/Alaska/27/2017	2017-06-03	CY243535	USA	N	4
A/Alaska/28/2017	2017-06-05	CY243527	USA	N	4
A/Alaska/29/2016	2016-10-31	CY209128	USA	N	4
A/Alaska/29/2017	2017-06-08	CY243543	USA	N	4
A/Alaska/31/2017	2017-06-26	CY243559	USA	N	4
A/Alaska/32/2016	2016-12-05	CY212474	USA	N	4
A/Alaska/32/2017	2017-06-30	CY243567	USA	N	4
A/Alaska/33/2017	2017-06-30	CY243575	USA	N	4
A/Alaska/35/2016	2016-12-13	CY213154	USA	N	4
