strain	date	accession	country	region	segment_name
A/Alabama/01/2017	2017-01-04	CY216619	USA	N	6
A/Alabama/03/2017	2017-01-19	CY216627	USA	N	6
A/Alabama/04/2017	2017-01-23	CY216635	USA	N	6
A/Alabama/06/2017	2017-02-07	CY220553	USA	N	6
A/Alabama/08/2017	2017-02-20	CY223047	USA	N	6
A/Alabama/09/2017	2017-02-24	CY223055	USA	N	6
A/Alabama/10/2017	2017-03-06	CY230716	USA	N	6
A/Alabama/12/2017	2017-03-09	CY230708	USA	N	6
A/Alabama/13/2016	2016-10-19	KY289357	USA	N	6
A/Alabama/14/2016	2016-10-19	KY289403	USA	N	6
A/Alabama/15/2016	2016-11-16	CY210697	USA	N	6
A/Alabama/15/2017	2017-03-20	CY230692	USA	N	6
A/Alabama/16/2016	2016-11-27	CY210689	USA	N	6
A/Alabama/16/2017	2017-03-29	CY230684	USA	N	6
A/Alabama/17/2017	2017-03-30	CY230676	USA	N	6
A/Alabama/18/2017	2017-05-04	CY234756	USA	N	6
A/Alabama/19/2017	2017-05-04	CY234764	USA	N	6
A/Alabama/24/2017	2017-10-17	CY250629	USA	N	6
A/Alabama/25/2017	2017-10-19	CY259884	USA	N	6
A/Alabama/27/2017	2017-11-12	CY264181	USA	N	6
A/Alaska/01/2017	2017-01-08	CY216059	USA	N	6
A/Alaska/03/2017	2017-01-23	CY220249	USA	N	6
A/Alaska/04/2016	2016-01-20	KY044325	USA	N	6
A/Alaska/04/2017	2017-01-24	CY220241	USA	N	6
A/Alaska/05/2016	2016-01-31	KX414922	USA	N	6
A/Alaska/05/2017	2017-02-09	CY222055	USA	N	6
A/Alaska/06/2016	2016-01-23	KX414914	USA	N	6
A/Alaska/06/2017	2017-02-09	CY222063	USA	N	6
A/Alaska/08/2017	2017-02-13	CY239715	USA	N	6
A/Alaska/09/2017	2017-02-21	CY223175	USA	N	6
A/Alaska/12/2017	2017-03-30	CY230740	USA	N	6
A/Alaska/13/2017	2017-04-03	CY235498	USA	N	6
A/Alaska/16/2017	2017-04-22	CY235634	USA	N	6
A/Alaska/19/2016	2016-04-25	KX917862	USA	N	6
A/Alaska/21/2017	2017-06-16	CY240081	USA	N	6
A/Alaska/22/2016	2016-06-06	KY044189	USA	N	6
A/Alaska/22/2017	2017-07-10	CY240065	USA	N	6
A/Alaska/24/2016	2016-09-08	KY003468	USA	N	6
A/Alaska/24/2017	2017-07-18	CY242312	USA	N	6
A/Alaska/25/2016	2016-09-10	KY003380	USA	N	6
A/Alaska/26/2016	2016-09-20	KY116120	USA	N	6
A/Alaska/26/2017	2017-06-02	CY243521	USA	N	6
A/Alaska/27/2017	2017-06-03	CY243537	USA	N	6
A/Alaska/28/2016	2016-10-31	CY209122	USA	N	6
A/Alaska/28/2017	2017-06-05	CY243529	USA	N	6
A/Alaska/29/2017	2017-06-08	CY243545	USA	N	6
A/Alaska/31/2016	2016-11-20	CY210442	USA	N	6
A/Alaska/31/2017	2017-06-26	CY243561	USA	N	6
A/Alaska/32/2016	2016-12-05	CY212476	USA	N	6
A/Alaska/32/2017	2017-06-30	CY243569	USA	N	6
A/Alaska/33/2016	2016-12-05	CY212484	USA	N	6
A/Alaska/33/2017	2017-06-30	CY243577	USA	N	6
A/Alaska/37/2017	2017-07-11	CY243593	USA	N	6
A/Alaska/45/2017	2017-07-30	CY243657	USA	N	6
A/Alaska/48/2017	2017-08-03	CY243664	USA	N	6
A/Alaska/51/2017	2017-08-07	CY244635	USA	N	6
A/Alaska/56/2017	2017-08-31	CY245144	USA	N	6
A/Alaska/57/2017	2017-09-01	CY245136	USA	N	6
A/Alaska/60/2017	2017-08-22	CY247088	USA	N	6
A/Alaska/62/2017	2017-09-07	CY247104	USA	N	6
A/Alaska/64/2017	2017-09-25	CY257631	USA	N	6
A/Alaska/71/2017	2017-11-24	CY261633	USA	N	6
A/Alaska/74/2017	2017-11-29	CY261657	USA	N	6
A/Arizona/04/2017	2017-01-30	CY220425	USA	N	6
A/Arizona/05/2017	2017-01-31	CY220433	USA	N	6
A/Arizona/06/2017	2017-01-31	CY224888	USA	N	6
A/Arizona/11/2016	2016-01-13	KX414187	USA	N	6
A/Arizona/11/2017	2017-02-19	CY223207	USA	N	6
A/Arizona/13/2017	2017-02-22	CY230532	USA	N	6
A/Arizona/14/2017	2017-02-25	CY230540	USA	N	6
A/Arizona/18/2017	2017-03-13	CY234194	USA	N	6
A/Arizona/20/2017	2017-03-27	CY230652	USA	N	6
A/Arizona/21/2016	2016-01-24	KX414507	USA	N	6
A/Arizona/22/2016	2016-01-23	KX414491	USA	N	6
A/Arizona/24/2016	2016-01-20	KX414515	USA	N	6
A/Arizona/24/2017	2017-04-09	CY235594	USA	N	6
A/Arizona/25/2016	2016-01-20	KX414523	USA	N	6
A/Arizona/27/2016	2016-01-18	KX414539	USA	N	6
A/Arizona/27/2017	2017-04-25	CY235714	USA	N	6
A/Arizona/29/2017	2017-05-15	CY239683	USA	N	6
A/Arizona/32/2016	2016-01-08	KX413096	USA	N	6
A/Arizona/32/2017	2017-05-01	CY238885	USA	N	6
A/Arizona/35/2017	2017-05-21	CY238893	USA	N	6
A/Arizona/37/2017	2017-05-21	CY238901	USA	N	6
A/Arizona/38/2017	2017-06-13	CY238917	USA	N	6
A/Arizona/39/2017	2017-06-16	CY238925	USA	N	6
A/Arizona/43/2017	2017-06-22	CY242200	USA	N	6
A/Arizona/44/2016	2016-02-16	KX415466	USA	N	6
A/Arizona/45/2017	2017-07-11	CY242064	USA	N	6
A/Arizona/48/2017	2017-07-31	CY244555	USA	N	6
A/Arizona/49/2016	2016-03-06	KX416546	USA	N	6
A/Arizona/49/2017	2017-08-16	CY245200	USA	N	6
A/Arizona/4965/2016	2016-01-25	CY209944	USA	N	6
A/Arizona/50/2017	2017-08-22	CY245208	USA	N	6
A/Arizona/5053/2016	2016-02-12	CY209962	USA	N	6
A/Arizona/51/2017	2017-09-11	CY249949	USA	N	6
A/Arizona/5112/2016	2016-03-04	CY209974	USA	N	6
A/Arizona/5187/2016	2016-02-29	CY209986	USA	N	6
A/Arizona/56/2016	2016-03-13	KX917550	USA	N	6
A/Arizona/57/2016	2016-03-13	KX917558	USA	N	6
A/Arizona/59/2016	2016-04-18	KX917878	USA	N	6
A/Arizona/59/2017	2017-10-19	CY260712	USA	N	6
A/Arizona/60/2016	2016-04-20	KX917870	USA	N	6
A/Arizona/62/2017	2017-10-30	CY260720	USA	N	6
A/Arizona/65/2016	2016-05-09	KX916718	USA	N	6
A/Arizona/66/2016	2016-05-12	KX916710	USA	N	6
A/Arizona/66/2017	2017-11-07	CY264094	USA	N	6
