strain,umap_x,umap_y,umap_label
A/Italy/8443/2019,-14.414486,13.907134,2
A/Japan/7159/2018,-14.060806,15.330901,2
A/England/7211/2018,-15.670993,16.332237,2
A/Japan/FDX70344/2018,-14.457769,14.539886,2
A/SouthKorea/8668/2019,-14.38573,13.584533,2
A/Italy/9367/2019,-14.161689,13.895486,2
A/Pernambuco/9511/2018,-14.367882,15.948036,2
A/Santiago/PUC-MVL_012/2018,-16.290588,16.181963,2
A/Santiago/PUC-MVL_025/2018,-14.340969,15.62915,2
A/Santiago/PUC-MVL_042/2018,-14.789722,16.362871,2
A/Santiago/PUC-MVL_022/2018,10.921616,17.555124,0
A/Santiago/p003d0/2018,11.767152,16.42598,0
A/Santiago/p016d0/2018,11.197021,17.415611,0
A/Newcastle/4/2018,9.95064,17.633959,0
A/SouthAustralia/12/2018,9.983487,17.476732,0
A/Sydney/8/2018,10.171758,17.881104,0
A/Sydney/20/2018,10.464622,17.87228,0
A/Newcastle/19/2018,10.56931,16.873878,0
A/Florida/101/2018,10.281845,16.408695,0
A/Victoria/2038/2018,11.073627,16.861319,0
A/SouthAustralia/179/2018,11.108381,17.243929,0
A/Brisbane/64/2018,11.794037,15.987398,0
A/NewYork/40/2018,12.334576,15.855209,0
A/NewHampshire/24/2018,11.828883,16.455265,0
A/Makhachkala/84/2019,12.580508,15.360087,0
A/Vladimir/87/2019,12.144312,15.802643,0
A/Minnesota/44/2019,12.687471,15.581998,0
A/SouthAustralia/153/2018,12.151419,16.858154,0
A/Townsville/23/2018,11.994774,15.804246,0
A/SouthAustralia/174/2018,11.797285,15.018789,0
A/Brisbane/115/2018,10.763268,17.111858,0
A/Brisbane/67/2018,10.819562,16.778255,0
A/Brisbane/13/2018,10.501737,15.753944,0
A/Washington/194/2018,12.008213,14.737761,0
A/Brisbane/104/2018,9.173902,15.584945,0
A/SouthAustralia/161/2018,9.47891,15.0763645,0
A/Hawaii/64/2018,9.844601,16.101238,0
A/Hawaii/46/2018,9.883075,16.316956,0
A/SouthAustralia/186/2018,9.412541,15.708935,0
A/NewHampshire/25/2018,9.492834,16.291395,0
A/Sydney/100/2018,9.405999,15.627166,0
A/Victoria/2041/2018,10.381231,14.959861,0
A/Hawaii/47/2018,9.562843,15.32766,0
A/Hawaii/50/2018,9.564144,15.20705,0
A/Michigan/395/2018,9.90687,15.201977,0
A/Hawaii/44/2018,9.635418,15.467355,0
A/Hawaii/51/2018,9.918246,14.951062,0
A/Moscow/119/2019,12.55436,16.049953,0
A/Grozny/88/2019,12.301018,16.417223,0
A/SouthKorea/7188/2018,10.10301,15.324457,0
A/Busan/1343/2018,10.211814,15.493261,0
A/SouthKorea/6968/2018,10.573244,15.325913,0
A/SouthKorea/7182/2018,10.6877365,15.64206,0
A/Guam/7502/2018,9.749381,16.089485,0
A/Incheon/1320/2018,10.13819,16.933748,0
A/Bahrain/NHRC-OID_ESX0121A/2018,11.555654,16.872807,0
A/Germany/9360/2019,11.81444,17.213453,0
A/Germany/8914/2019,11.605385,16.65392,0
A/Homosapien/China/LS205/2018,12.446002,16.60706,0
A/Germany/7025/2018,10.128353,17.882633,0
A/Guam/7145/2018,10.61056,17.558125,0
A/SouthKorea/7428/2018,10.48889,17.601398,0
A/Japan/6954/2018,10.29237,18.003778,0
A/Germany/9056/2019,10.2725725,16.275457,0
A/Belgium/8876/2019,11.092168,14.946791,0
A/England/8892/2019,11.023755,15.457444,0
A/Italy/7842/2019,10.844365,15.851813,0
A/Japan/8262/2019,10.604488,16.116531,0
A/Germany/9344/2019,11.139004,15.204162,0
A/England/7963/2019,10.906959,15.153629,0
A/Germany/7220/2018,10.508885,17.150461,0
A/SouthKorea/7186/2018,10.171676,17.764612,0
A/Seoul/1287/2018,11.275509,16.573803,0
A/Italy/9065/2019,11.630576,15.740075,0
A/England/8122/2019,11.194978,17.388561,0
A/Germany/9482/2019,11.835464,17.057735,0
A/England/8581/2019,12.106249,16.004702,0
A/Germany/7830/2018,12.3654585,16.198208,0
A/Turkey/8543/2019,11.489647,17.476624,0
A/Germany/9669/2019,12.459003,15.273668,0
A/Germany/7345/2018,11.081076,14.378711,0
A/Germany/8918/2019,11.271944,16.37943,0
A/California/191/2019,12.210614,14.756948,0
A/Mississippi/41/2019,11.892316,14.755494,0
A/Homosapien/China/LS340/2019,12.091559,15.420051,0
A/Maine/43/2019,12.144285,14.614259,0
A/Pennsylvania/02/2020,11.750207,14.224329,0
A/Tennessee/21/2020,12.060579,13.744467,0
A/Massachusetts/38/2019,12.329258,13.401048,0
A/SouthAustralia/184/2018,13.274063,13.279736,0
A/Wisconsin/103/2018,13.590771,13.195617,0
A/SouthAustralia/26/2018,13.2720375,13.581666,0
A/Colorado/44/2019,12.131807,13.664359,0
A/Italy/8453/2019,12.161527,13.29716,0
A/Italy/9061/2019,13.230641,13.165586,0
A/SouthKorea/8203/2019,12.548029,13.150234,0
A/Italy/9363/2019,12.369003,12.917145,0
A/Alaska/32/2019,13.591198,10.844816,0
A/Florida/121/2019,13.464732,11.101344,0
A/Indiana/35/2019,12.475428,11.461423,0
A/Michigan/390/2019,13.844005,10.89122,0
A/Idaho/30/2019,12.397506,11.622996,0
A/Alaska/36/2019,12.803036,11.537556,0
A/Colorado/36/2019,14.314449,11.038163,0
A/Michigan/387/2019,13.019091,11.445138,0
A/Arizona/29/2019,12.505186,12.2479315,0
A/Victoria/2051/2018,15.250165,12.115291,0
A/Grozny/89/2019,15.192187,11.645697,0
A/Yaroslavl/82/2019,15.1312895,12.255827,0
A/Moscow/122/2019,14.636626,12.383031,0
A/Moscow/121/2019,14.99646,12.078433,0
A/Utah/37/2019,12.751727,11.09505,0
A/Florida/85/2019,12.539955,11.555336,0
A/Delaware/38/2019,12.20076,11.422974,0
A/Alaska/38/2019,12.097795,11.941502,0
A/Michigan/418/2018,12.864593,13.359965,0
A/Tomsk/243/2018,12.766066,13.060544,0
A/Tomsk/245/2018,12.983907,12.941733,0
A/Italy/8601/2019,14.8087,11.643732,0
A/England/8887/2019,14.664913,12.272827,0
A/Spain/8527/2019,15.371048,11.730288,0
A/Germany/9490/2019,14.27505,11.927516,0
A/SouthKorea/9579/2019,13.95938,12.265003,0
A/SouthKorea/9645/2019,14.50427,12.471535,0
A/Germany/8752/2019,14.9376135,12.224249,0
A/Germany/9676/2019,13.795554,12.094138,0
A/Italy/8442/2019,14.547231,12.66864,0
A/Japan/NHRC-OID_FDX70557/2019,14.405823,12.18886,0
A/Japan/8261/2019,13.962915,12.093564,0
A/Spain/9580/2019,13.160678,12.120465,0
A/England/8741/2019,13.146801,11.625915,0
A/Japan/7846/2019,14.3485155,11.210376,0
A/Germany/8917/2019,14.120299,11.509918,0
A/Guam/8597/2019,13.976773,11.329214,0
A/Japan/NHRC-OID_FDX70577/2019,15.032023,11.358169,0
A/SouthKorea/8832/2019,13.946877,11.408291,0
A/SouthKorea/8824/2019,13.643102,11.594895,0
A/Germany/9343/2019,13.882008,11.14129,0
A/Japan/8142/2019,14.7901535,11.168125,0
A/Japan/8003/2019,13.177379,11.473955,0
A/SouthKorea/9578/2019,12.843483,11.179146,0
A/SouthKorea/9704/2019,12.801351,11.351275,0
A/Italy/9062/2019,13.544244,12.420443,0
A/Japan/9505/2019,15.308205,11.920166,0
A/Japan/NHRC-OID_FDX70521/2018,14.65733,11.810641,0
A/Italy/8139/2019,13.328418,12.260664,0
A/Guam/9841/2019,13.509549,11.279728,0
A/Homosapien/China/LS329/2019,12.665288,12.204822,0
A/Italy/8953/2019,13.549022,12.607628,0
A/Homosapien/China/LS318/2019,13.858226,12.688042,0
A/England/7821/2019,13.735905,12.379201,0
A/Japan/NHRC-OID_FDX70487/2018,13.94861,12.428282,0
A/Homosapien/China/LS323/2019,12.408129,12.333525,0
A/Guam/7834/2019,13.399623,13.266711,0
A/RhodeIsland/26/2019,12.18298,12.557358,0
A/Japan/FDX70378/2018,11.366117,14.530477,0
