n_neighbors	min_dist	init	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
50	0.1	spectral	12883823	umap	0	4.0	0.17941645866754508	17913	1026	7052	30625	30075	325	7610	18606	0.40159505762294123
50	0.1	spectral	12883823	umap	1	4.0	0.40159505762294123	30075	325	7610	18606	17913	1026	7052	30625	0.17941645866754508
50	0.1	spectral	12883823	umap	2	4.0	0.2525548319229307	16836	0	7415	32365	17680	1036	7684	30216	0.1920822896257144
50	0.1	spectral	12883823	umap	3	4.0	0.1920822896257144	17680	1036	7684	30216	16836	0	7415	32365	0.2525548319229307
50	0.1	spectral	12883823	umap	4	4.0	0.284610197651868	20034	121	7695	28766	17262	0	8270	31084	0.27391990754749906
50	0.1	spectral	12883823	umap	5	4.0	0.27391990754749906	17262	0	8270	31084	20034	121	7695	28766	0.284610197651868
