n_components	dissimilarity	n_init	n_jobs	random_state	method	cv_iteration	distance_threshold	training_mcc	training_tn	training_fn	training_tp	training_fp	validation_tn	validation_fn	validation_tp	validation_fp	validation_mcc
4	precomputed	2	1	12883823	mds	0	0.0	0.41750183692241144	55754	3693	8060	11894	48760	3162	7473	20405	0.2906057762058474
4	precomputed	2	1	12883823	mds	1	0.0	0.2906057762058474	48760	3162	7473	20405	55754	3693	8060	11894	0.41750183692241144
4	precomputed	2	1	12883823	mds	2	0.0	0.3188580833455532	55462	3956	6243	13740	57019	3449	8812	10520	0.4738064352538682
4	precomputed	2	1	12883823	mds	3	0.0	0.4738064352538682	57019	3449	8812	10520	55462	3956	6243	13740	0.3188580833455532
4	precomputed	2	1	12883823	mds	4	0.0	0.3940388552340689	55850	3202	7334	13015	52719	3628	8223	15230	0.3666737128806411
4	precomputed	2	1	12883823	mds	5	0.0	0.3666737128806411	52719	3628	8223	15230	55850	3202	7334	13015	0.3940388552340689
